name;bestcore;mameversion
"darkseal";lr-fbalpha;
"darktowr";lr-fbalpha;
"darkwar";lr-mame;
"darwin";lr-fbalpha;
"dassault4";lr-fbalpha;
"dazzler";lr-mame;
"dblaxle";lr-fbalpha;
"dbldynj";lr-fbalpha;
"dblewing";lr-fbalpha;
"dblplay";lr-mame;
"dblpoint";lr-fbalpha;
"dbreed";lr-fbalpha;
"dbz";lr-fbalpha;
"dbz2";lr-fbalpha;
"dcclub";adv-mame;
"dcon";lr-fbalpha;
"dday";lr-mame;
"ddcrewu";lr-fbalpha;
"ddonpach";lr-fbalpha;
"ddp2";lr-fbalpha;
"ddpdoj";lr-fbalpha;
"ddragon2u";lr-fbalpha;
"ddragon3";lr-fbalpha;
"ddragonu";lr-fbalpha;
"ddribble";lr-mame;
"ddsomu";lr-fbalpha;
"ddtodu";lr-fbalpha;
"ddungeon";lr-mame;
"ddux";lr-fbalpha;
"deadang";lr-mame;
"deadconx";lr-mame;2003
"deadeye";lr-mame;
"dealer";lr-fbalpha;
"deerhunt";lr-fbalpha;
"defender";lr-mame;
"deluxe5";lr-fbalpha;
"demon";adv-mame;
"demoneye";lr-mame;
"demonwld";lr-fbalpha;
"deroon";lr-fbalpha;
"desertbr";lr-fbalpha;
"desertwr";lr-mame;
"destroyr";adv-mame;
"devilfsh";lr-fbalpha;
"devilw";lr-fbalpha;
"devstors";lr-fbalpha;
"devzone";lr-mame;
"dharma";lr-fbalpha;
"diamond";lr-fbalpha;
"dietgou";lr-fbalpha;
"digdug";lr-fbalpha;
"digdug2";lr-fbalpha;
"digger";lr-mame;
"dimahoou";lr-fbalpha;
"dingo";lr-fbalpha;
"dinorexu";lr-fbalpha;
"dinou";lr-fbalpha;
"dirtfoxj";lr-fbalpha;
"disco";lr-fbalpha;
"diverboy";lr-fbalpha;
"djboy";lr-fbalpha;
"dkong";lr-mame;
"dkong3";lr-fbalpha;
"dkongjr";lr-mame;
"dleague";lr-fbalpha;
"dmnfrnt";lr-fbalpha;
"docastle";lr-fbalpha;
"dockman";lr-fbalpha;
"dodgem";lr-mame;
"dodgeman";lr-fbalpha;
"dogfgt";lr-fbalpha;
"dogfight";lr-fbalpha;
"dogyuun";lr-fbalpha;
"dokaben";lr-fbalpha;
"dolmen";lr-fbalpha;
"domino";lr-mame;
"dominos";lr-mame;
"dommy";lr-fbalpha;
"dondokodu";lr-fbalpha;
"donight";lr-fbalpha;
"donpachi";lr-fbalpha;
"dorachan";lr-mame;
"dorodon";lr-fbalpha;
"dorunrun";lr-fbalpha;
"dotrikun";lr-fbalpha;
"dowild";lr-fbalpha;
"downtown";lr-fbalpha;
"dquizgo";lr-fbalpha;
"dragnblz";lr-fbalpha;
"dragoonj";lr-mame;
"dragwld2";lr-mame;
"drakton";lr-fbalpha;
"dreamwld";lr-fbalpha;
"dremshpr";lr-fbalpha;
"drgnbowl";lr-fbalpha;
"drgnbstr";lr-fbalpha;
"drgnmst";lr-fbalpha;
"drgnunit";lr-fbalpha;
"drgw2";lr-fbalpha;
"dribling";lr-mame;
"drifto94";lr-fbalpha;
"driftout";lr-fbalpha;
"drivfrcp";lr-fbalpha;
"drmario";lr-mame;
"drmicro";lr-fbalpha;
"drtomy";lr-fbalpha;
"drtoppelu";lr-fbalpha;
"dsaber";lr-fbalpha;
"dsoccr94";lr-fbalpha;
"dspirit";lr-fbalpha;
"dstlku";lr-fbalpha;
"duckhunt";lr-mame;
"dungeonm";lr-mame;2003
"dunkshot";lr-fbalpha;
"dw";lr-mame;
"dw2001";lr-fbalpha;
"dwpc";lr-fbalpha;
