#  allMAMEremoved 0.01 > 0.196
#
#  All sets removed, from the first version, in alphabetical order
#
#
#  © 2016/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------
| Name Set                                | Removed In      | Note       |  Type             |
| outbackja                               | 0.175           |            | Machine           |
| pcfav                                   | 0.175           |            | Machine           |
| pelpetu2                                | 0.174           |            | Machine           |
| pengopop                                | 0.027           |            | Machine           |
| peribox_998                             | 0.186           |            | Device            |
| pex0055pq                               | 0.169           |            | Machine           |
| pexmp003a                               | 0.152           |            | Machine           |
| pexmp003b                               | 0.152           |            | Machine           |
| pexmp006                                | 0.152           |            | Machine           |
| pexmp006b                               | 0.152           |            | Machine           |
| pexmp024                                | 0.152           |            | Machine           |
| pexmp030a                               | 0.179           |            | Machine           |
| pexmp030a                               | 0.180           |            | Machine           |
| pinkswts                                | 0.144           |            | Machine           |
| pinkswtsa                               | 0.144           |            | Machine           |
| pinkswtsb                               | 0.144           |            | Machine           |
| pls100                                  | 0.156           |            | Device            |
| plus4_user_port                         | 0.153           |            | Device            |
| poleps2c                                | 0.079u1         |            | Machine           |
| pong                                    | 0.036rc1        |            | Machine           |
| ponttehk                                | 0.036rc1        |            | Machine           |
| pool                                    | 0.033b7         |            | Machine           |
| popn1                                   | 0.114           |            | Machine           |
| popn2                                   | 0.114           |            | Machine           |
| popn3                                   | 0.114           |            | Machine           |
| popnstex                                | 0.114           |            | Machine           |
| powernjb                                | 0.117u3         |            | Machine           |
| redeartn                                | 0.141u2         |            | Machine           |
| riot6532                                | 0.162           |            | Device            |
| roboarma                                | 0.124u1         |            | Machine           |
| sc_unsrt                                | 0.146u5         |            | Machine           |
| sc1bee                                  | 0.143u4         |            | Machine           |
| sc1cexplc                               | 0.147u4         |            | Machine           |
| sc1chaina                               | 0.147u4         |            | Machine           |
| sc1clbwb                                | 0.147u4         |            | Machine           |
| sc1csclb                                | 0.147u4         |            | Machine           |
| sc1csclc                                | 0.147u4         |            | Machine           |
| sc1cshwzb                               | 0.146u5         |            | Machine           |
| sc1dyncl                                | 0.144           |            | Machine           |
