#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| mspuzzlg                   | mspuzzleg                | 0.133u1      |             | Machine           |
| mspuzzlg                   | mspuzzleg                | 0.133u1      |             | Machine           |
| mspuzzln                   | mspuzzlen                | 0.133u1      |             | Machine           |
| mspuzzln                   | mspuzzlen                | 0.133u1      |             | Machine           |
| msx_cart_moonsound         | msx_moonsound            | 0.165        |             | Device            |
| mtburn                     | mtburnr                  | 0.193        |             | Machine           |
| mtkob2                     | mushike                  | 0.192        |             | Machine           |
| mtlchamp                   | mtlchmp1                 | 0.102        |             | Machine           |
| mtlchampu                  | mtlchampu1               | 0.148u2      |             | Machine           |
| mtlchmp1                   | mtlchamp1                | 0.133u1      |             | Machine           |
| mtlchmp1                   | mtlchamp1                | 0.133u1      |             | Machine           |
| mtlchmpa                   | mtlchampa                | 0.133u1      |             | Machine           |
| mtlchmpa                   | mtlchampa                | 0.133u1      |             | Machine           |
| mtlchmpj                   | mtlchampj                | 0.133u1      |             | Machine           |
| mtlchmpj                   | mtlchampj                | 0.133u1      |             | Machine           |
| mtlchmpu                   | mtlchampu                | 0.133u1      |             | Machine           |
| mtlchmpu                   | mtlchampu                | 0.133u1      |             | Machine           |
| mtonic                     | magoddsc                 | 0.141u1      |             | Machine           |
| mtreenz                    | montree                  | 0.175        |             | Machine           |
| multchmk                   | multchmpk                | 0.133u1      |             | Machine           |
| multchmk                   | multchmpk                | 0.133u1      |             | Machine           |
| multchmp                   | multchmk                 | 0.104u6      |             | Machine           |
| multi                      | ti99_mcartconn           | 0.186        |             | Device            |
| multipcm                   | ymw258f                  | 0.189        |             | Device            |
| mushi2ea                   | mushik2e                 | 0.166        |             | Machine           |
| mushik2e                   | mushi2eo                 | 0.166        |             | Machine           |
| mushisam                   | mushisama                | 0.143u2      |             | Machine           |
| mutantfa                   | mutantf4                 | 0.122u3      |             | Machine           |
| mvsc                       | mvscr1                   | 0.127u4      |             | Machine           |
| mvsc                       | mvscu                    | 0.102u3      |             | Machine           |
| mvsca                      | mvscar1                  | 0.086u3      |             | Machine           |
| mwalka                     | mwalku                   | 0.092        |             | Machine           |
| mwalkb                     | mwalkj                   | 0.092        |             | Machine           |
| myheroj                    | sscandal                 | 0.056        |             | Machine           |
| mysteyec                   | mysteycmu                | 0.175        |             | Machine           |
| mystgrd                    | mystgard                 | 0.175        |             | Machine           |
| myststno                   | myststono                | 0.133u1      |             | Machine           |
| myststno                   | myststono                | 0.133u1      |             | Machine           |
| mystston                   | myststno                 | 0.066        |             | Machine           |
| mystwarj                   | mystwarrj                | 0.133u1      |             | Machine           |
| mystwarra                  | mystwarraa               | 0.173        |             | Machine           |
| mystwaru                   | mystwarru                | 0.133u1      |             | Machine           |
| mzrblzra                   | mazerblaa                | 0.133u1      |             | Machine           |
| nam_1975                   | nam1975                  | 0.035b3      |             | Machine           |
| namco06xx                  | namco06                  | 0.186        |             | Device            |
| namcopac                   | pacman                   | 0.035b9      |             | Machine           |
| naomi_gdrom_board          | segadimm                 | 0.180        |             | Device            |
| naughtya                   | naughtyba                | 0.133u1      |             | Machine           |
| naughtyb                   | naughtyc                 | 0.035b11     |             | Machine           |
| naughtyc                   | naughtybc                | 0.133u1      |             | Machine           |
| navalone                   | navarone                 | 0.078u1      |             | Machine           |
| nb_cb264                   | nb_c264                  | 0.186        |             | Device            |
| nbajamex                   | nbajamexa                | 0.178        |             | Machine           |
| nbajamt1                   | nbajamte1                | 0.147        |             | Machine           |
| nbajamt2                   | nbajamte2                | 0.147        |             | Machine           |
| nbajamt3                   | nbajamte3                | 0.147        |             | Machine           |
| nbajamtn                   | nbajamten                | 0.147        |             | Machine           |
| nbamaxht                   | nbamht1                  | 0.082u1      |             | Machine           |
| nbbatman                   | nbbatmanu                | 0.146u4      |             | Machine           |
| nc96b                      | nc96c                    | 0.163        |             | Machine           |
| nc96c                      | nc96f                    | 0.163        |             | Machine           |
| ncombata                   | ncombath                 | 0.120        |             | Machine           |
| nebulray                   | nebulryj                 | 0.060        |             | Machine           |
| nebulryj                   | nebulrayj                | 0.133u1      |             | Machine           |
| nemesuk                    | nemesisuk                | 0.133u1      |             | Machine           |
| neogeo_mjac                | neogeo_mj_ac             | 0.186        |             | Device            |
| neogeo_mjctrl              | neogeo_mj                | 0.186        |             | Device            |
| neogeo_rom                 | neocart_rom              | 0.174        |             | Device            |
| neogeo_rom                 | neocart_rom              | 0.174        |             | Device            |
| neosprite                  | neosprite_reg            | 0.184        |             | Device            |
| nes_bmc_11160              | nes_bmc_1160             | 0.186        |             | Device            |
| nes_bmc_sbit7              | nes_bmc_sbig7            | 0.186        |             | Device            |
| nes_dumarc                 | nes_txc_dumarc           | 0.186        |             | Device            |
| nes_fk23c                  | nes_kf23c                | 0.186        |             | Device            |
| nes_fk23ca                 | nes_kf23ca               | 0.186        |             | Device            |
| nes_gs2004                 | nes_g2004                | 0.186        |             | Device            |
| nes_gs2013                 | nes_g2013                | 0.186        |             | Device            |
| nes_gs2015                 | nes_g2015                | 0.186        |             | Device            |
| nes_h3001                  | ns_h3001                 | 0.186        |             | Device            |
| nes_mjblock                | nes_txc_mjblock          | 0.186        |             | Device            |
| nes_ntdec_fh               | nes_fh_asder             | 0.186        |             | Device            |
| nes_s74x34                 | nes_s74x374              | 0.186        |             | Device            |
| nes_s74x34a                | nes_s74x374a             | 0.186        |             | Device            |
| netlist_analog_input       | nl_analog_in             | 0.186        |             | Device            |
| netlist_analog_output      | nl_analog_out            | 0.186        |             | Device            |
| netlist_int_input          | nl_int_out               | 0.186        |             | Device            |
| netlist_logic_input        | nl_logic_in              | 0.186        |             | Device            |
| netlist_logic_output       | nl_logic_out             | 0.186        |             | Device            |
| netlist_ram_pointer        | nl_ram_ptr               | 0.186        |             | Device            |
| netlist_stream_input       | nl_stream_in             | 0.186        |             | Device            |
| netlist_stream_output      | nl_stream_out            | 0.186        |             | Device            |
| newbraia                   | newbrain                 | 0.142        |             | Machine           |
| newbraid                   | newbraia                 | 0.127        |             | Machine           |
| newbraie                   | newbraineim              | 0.142        |             | Machine           |
| newbrain                   | newbraina                | 0.142        |             | Machine           |
| newbramd                   | newbrainmd               | 0.142        |             | Machine           |
| newbramd                   | newbraim                 | 0.127        |             | Machine           |
| nextnt                     | nexts                    | 0.145u1      |             | Machine           |
| nexttrb                    | nextst                   | 0.145u1      |             | Machine           |
| nflclsfb_decrypter         | nflclsfg_decrypter       | 0.186        |             | Device            |
| ngbootleg_prot             | ngboot_prot              | 0.174        |             | Device            |
| ngen_keyboard              | ngen_kb                  | 0.186        |             | Device            |
| nghtstrj                   | nightstrj                | 0.133u1      |             | Machine           |
| nghtstru                   | nightstru                | 0.133u1      |             | Machine           |
| nibbler                    | nibbler6                 | 0.143u6      |             | Machine           |
| nibblera                   | nibbler                  | 0.143u6      |             | Machine           |
| nibblerb                   | nibbler8                 | 0.143u6      |             | Machine           |
| nightrdr                   | nightr20                 | 0.141u3      |             | Machine           |
| nightstr                   | nghtstru                 | 0.125u9      |             | Machine           |
| ninjak2a                   | ninjakd2a                | 0.133u1      |             | Machine           |
| ninjak2b                   | ninjakd2b                | 0.133u1      |             | Machine           |
| ninjaslt                   | ninjaslta                | 0.186        |             | Machine           |
| ninjaslt                   | ninjasltu                | 0.166        |             | Machine           |
| ninjaslt1                  | ninjasltj                | 0.166        |             | Machine           |
| ninjaslt2                  | ninjaslta                | 0.166        |             | Machine           |
| ninjaslt4                  | ninjaslt                 | 0.166        |             | Machine           |
| ninjaslta                  | ninjaslt                 | 0.186        |             | Machine           |
| noboranb                   | nobb                     | 0.129u3      |             | Machine           |
| norautv3                   | noraut3a                 | 0.135u2      |             | Machine           |
| nov2001                    | nov2001u                 | 0.036b13     |             | Machine           |
| nov2001u                   | nova2001u                | 0.133u1      |             | Machine           |
| npacmod                    | puckmod                  | 0.053        |             | Machine           |
| npc8201a                   | pc8201a                  | 0.136        |             | Machine           |
| nprinceb                   | nprincsb                 | 0.035b6      |             | Machine           |
| nprinces                   | nprincso                 | 0.056        |             | Machine           |
| nprinces                   | nprinceb                 | 0.034b2      |             | Machine           |
| nprincsb                   | nprincesb                | 0.130u3      |             | Machine           |
| nprincso                   | nprinceso                | 0.130u3      |             | Machine           |
| nprincsu                   | nprincesu                | 0.130u3      |             | Machine           |
| nrallyx                    | nrallyxb                 | 0.134u2      |             | Machine           |
| ns10_crypto                | mrdrilr2_decrypter       | 0.184        |             | Device            |
| nslashej                   | nslasherj                | 0.133u1      |             | Machine           |
| nslashes                   | nslashers                | 0.133u1      |             | Machine           |
| nsmdsa                     | s100_nsmdsa              | 0.186        |             | Device            |
| nsmdsad                    | s100_nsmdsad             | 0.186        |             | Device            |
| nstockr2                   | nstocker2                | 0.133u1      |             | Machine           |
| numanatj                   | numanathj                | 0.133u1      |             | Machine           |
| nzerotea                   | nzeroteam                | 0.146        |             | Machine           |
| nzeroteam                  | nzeroteama               | 0.177        |             | Machine           |
| offrdtp2                   | offroadt2p               | 0.136        |             | Machine           |
| offroadc                   | offrodc4                 | 0.131u4      |             | Machine           |
| offroadc                   | offrodc1                 | 0.124u1      |             | Machine           |
| offrodc1                   | offroadc1                | 0.133u1      |             | Machine           |
| offrodc3                   | offroadc3                | 0.133u1      |             | Machine           |
| offrodc4                   | offroadc4                | 0.133u1      |             | Machine           |
| offtwalc                   | offtwallc                | 0.133u1      |             | Machine           |
| okean240                   | okean240a                | 0.142        |             | Machine           |
| oldsin                     | sinista1                 | 0.034b8      |             | Machine           |
| oldss                      | oldsplus                 | 0.130u3      |             | Machine           |
| olivm10                    | m10                      | 0.135        |             | Machine           |
| omega                      | omegab                   | 0.183        |             | Machine           |
| omti8621                   | omti8621isa              | 0.184        |             | Device            |
| onna34ra                   | onna34roa                | 0.133u1      |             | Machine           |
| opengol2                   | opengolf2                | 0.133u1      |             | Machine           |
| opengolf                   | opengol2                 | 0.082u1      |             | Machine           |
| opwolf                     | opwolfu                  | 0.095u3      |             | Machine           |
| ordyne                     | ordyneje                 | 0.189        |             | Machine           |
| ordyne                     | ordynej                  | 0.089u2      |             | Machine           |
| orld105k                   | orlegend105k             | 0.133u1      |             | Machine           |
| orld111c                   | orlegend111c             | 0.133u1      |             | Machine           |
| orleg2                     | orleg2_104cn             | 0.193        |             | Machine           |
| orleg2_101                 | orleg2_101cn             | 0.193        |             | Machine           |
| orleg2_103                 | orleg2_103cn             | 0.193        |             | Machine           |
| orleg2o                    | orleg2_103               | 0.192        |             | Machine           |
| orleg2oa                   | orleg2_101               | 0.192        |             | Machine           |
| orlegndc                   | orlegendc                | 0.133u1      |             | Machine           |
| orlegnde                   | orlegende                | 0.133u1      |             | Machine           |
| orunners                   | orunneru                 | 0.104u8      |             | Machine           |
| orunneru                   | orunnersu                | 0.133u1      |             | Machine           |
| oscar                      | oscaru                   | 0.128u3      |             | Machine           |
| oscarar                    | oscara5                  | 0.175        |             | Machine           |
| oscarj                     | oscarj2                  | 0.128u3      |             | Machine           |
| oscarj                     | oscarj0                  | 0.037b2      |             | Machine           |
| oscarj0                    | oscar                    | 0.128u3      |             | Machine           |
| oscnano                    | nano                     | 0.140        |             | Machine           |
| oso                        | ti998_oso                | 0.186        |             | Device            |
| othunder                   | othundero                | 0.176        |             | Machine           |
| othundrj                   | othunderj                | 0.133u1      |             | Machine           |
| othundu                    | othunderu                | 0.133u1      |             | Machine           |
| othunduo                   | othunderuo               | 0.133u1      |             | Machine           |
| ougonpai                   | ougonhai                 | 0.196        | <- NEW!     | Machine           |
| ougonpaib                  | ougonhaib                | 0.196        | <- NEW!     | Machine           |
| outfxesj                   | outfxiesj                | 0.133u1      |             | Machine           |
| outrun                     | outrun2                  | 0.092        |             | Machine           |
| outrun1                    | outrundx                 | 0.133u1      |             | Machine           |
| outrun2                    | outrunra                 | 0.133u1      |             | Machine           |
| outruna                    | outrun                   | 0.092        |             | Machine           |
| outrundx                   | outrundxa                | 0.153        |             | Machine           |
| outrundx                   | outrun1                  | 0.092        |             | Machine           |
| outruno                    | outrundx                 | 0.153        |             | Machine           |
| outrunp                    | outrundx                 | 0.079        |             | Machine           |
| outzone                    | outzoneh                 | 0.149u1      |             | Machine           |
| outzone                    | outzonea                 | 0.104u5      |             | Machine           |
| outzone                    | outzonea                 | 0.097u5      |             | Machine           |
| outzonea                   | outzoneb                 | 0.104u5      |             | Machine           |
| outzonea                   | outzone                  | 0.097u5      |             | Machine           |
| outzoneb                   | outzonec                 | 0.149u1      |             | Machine           |
| outzoneb                   | outzonec                 | 0.104u5      |             | Machine           |
| outzonec                   | outzone                  | 0.149u1      |             | Machine           |
| outzoned                   | outzoneb                 | 0.149u1      |             | Machine           |
| outzonep                   | outzonea                 | 0.037b13     |             | Machine           |
| overdriv                   | overdriva                | 0.158        |             | Machine           |
| ozmawar2                   | ozmawars2                | 0.133u1      |             | Machine           |
| p2_kof2003_cart            | neocart_kof2003          | 0.174        |             | Device            |
| p2_kof2003_cart            | neocart_kof2003          | 0.174        |             | Device            |
| p2_kof2003h_cart           | neocart_kof2003h         | 0.174        |             | Device            |
| p2_kof2003h_cart           | neocart_kof2003h         | 0.174        |             | Device            |
| p2_ms4plus_cart            | neocart_ms4plus          | 0.174        |             | Device            |
| p2_ms4plus_cart            | neocart_ms4plus          | 0.174        |             | Device            |
| p2_mslug4_cart             | neocart_mslug4           | 0.174        |             | Device            |
| p2_mslug4_cart             | neocart_mslug4           | 0.174        |             | Device            |
| p2_mslug5_cart             | neocart_mslug5           | 0.174        |             | Device            |
| p2_mslug5_cart             | neocart_mslug5           | 0.174        |             | Device            |
| p2_pnyaa_cart              | neocart_pnyaa            | 0.174        |             | Device            |
| p2_pnyaa_cart              | neocart_pnyaa            | 0.174        |             | Device            |
| p2_rotd_cart               | neocart_rotd             | 0.174        |             | Device            |
| p2_rotd_cart               | neocart_rotd             | 0.174        |             | Device            |
| p2_svc_cart                | neocart_svc              | 0.174        |             | Device            |
| p2_svc_cart                | neocart_svc              | 0.174        |             | Device            |
| p500                       | p500n                    | 0.147u1      |             | Machine           |
| p500n                      | p500                     | 0.147u2      |             | Machine           |
| pacland                    | pacland2                 | 0.034b8      |             | Machine           |
| pacland2                   | paclandj                 | 0.138        |             | Machine           |
| pacland3                   | paclandjo                | 0.138        |             | Machine           |
| paclanda                   | paclandm                 | 0.034b8      |             | Machine           |
| paclandn                   | pacland3                 | 0.034b8      |             | Machine           |
| pacman                     | puckman                  | 0.053        |             | Machine           |
| pacman                     | pacmanm                  | 0.035b9      |             | Machine           |
| pacmanij                   | pacmaniaj                | 0.133u1      |             | Machine           |
| pacmanjp                   | puckmana                 | 0.053        |             | Machine           |
| pacmanm                    | pacman                   | 0.053        |             | Machine           |
| pairs                      | pairsa                   | 0.078        |             | Machine           |
| palamed                    | palamedj                 | 0.187        |             | Machine           |
| pallavol                   | spikes91                 | 0.124u2      |             | Machine           |
| pang3                      | pang3n                   | 0.136u3      |             | Machine           |
| pang3                      | pang3j                   | 0.037b4      |             | Machine           |
| pang3n                     | pang3b                   | 0.144u2      |             | Machine           |
| pangpomm                   | pangpomsm                | 0.133u1      |             | Machine           |
| panic                      | panic2                   | 0.068        |             | Machine           |
| panica                     | panic3                   | 0.068        |             | Machine           |
| paperbr1                   | paperboyr1               | 0.133u1      |             | Machine           |
| paperbr2                   | paperboyr2               | 0.133u1      |             | Machine           |
| parallel_slot              | cg_parallel_slot         | 0.186        |             | Device            |
| pariligh                   | parislgt                 | 0.175        |             | Machine           |
| parilius                   | parislgtu                | 0.175        |             | Machine           |
| parodisj                   | parodiusj                | 0.133u1      |             | Machine           |
| parrot3                    | parrot3o                 | 0.133u2      |             | Machine           |
| parrot3b                   | parrot3b1                | 0.133u2      |             | Machine           |
| parrot3d                   | parrot3d1                | 0.133u2      |             | Machine           |
| parrot3v                   | parrot3                  | 0.133u2      |             | Machine           |
| parrot3v2                  | parrot3v1                | 0.133u2      |             | Machine           |
| pastelgl                   | pastelg                  | 0.086u2      |             | Machine           |
| patinho_feio_cpu           | pato_feio_cpu            | 0.183        |             | Device            |
| pbactio2                   | pbaction2                | 0.133u1      |             | Machine           |
| pbactio3                   | pbaction3                | 0.133u1      |             | Machine           |
| pbball96                   | powyak96                 | 0.148u5      |             | Machine           |
| pbballex                   | powyakex                 | 0.148u5      |             | Machine           |
| pbchmp95                   | pchmp95                  | 0.097u5      |             | Machine           |
| pbobbl2j                   | pbobble2j                | 0.133u1      |             | Machine           |
| pbobbl2o                   | pbobble2o                | 0.133u1      |             | Machine           |
| pbobbl2u                   | pbobble2u                | 0.133u1      |             | Machine           |
| pbobbl2x                   | pbobble2x                | 0.133u1      |             | Machine           |
| pbobbl3j                   | pbobble3j                | 0.133u1      |             | Machine           |
| pbobbl3u                   | pbobble3u                | 0.133u1      |             | Machine           |
| pbobbl4j                   | pbobble4j                | 0.133u1      |             | Machine           |
| pbobbl4u                   | pbobble4u                | 0.133u1      |             | Machine           |
| pbobblbs                   | pbobble                  | 0.053        |             | Machine           |
| pbobble                    | pbobblen                 | 0.053        |             | Machine           |
| pbobble2                   | pbobbl2o                 | 0.128u4      |             | Machine           |
| pbobble2                   | pbobbl2n                 | 0.036b1      |             | Machine           |
| pbobblena                  | pbobblenb                | 0.134u1      |             | Machine           |
| pbobblna                   | pbobblena                | 0.129u4      |             | Machine           |
| pbst30b                    | pbst30a                  | 0.156        |             | Machine           |
| pc6001m2                   | pc6001mk2                | 0.140        |             | Machine           |
| pc6600                     | pc6601                   | 0.140        |             | Machine           |
| pc88m2                     | pc8001mk2                | 0.135        |             | Machine           |
| pc88m2fr                   | pc8801mk2fr              | 0.135        |             | Machine           |
| pc88m2mr                   | pc8801mk2mr              | 0.135        |             | Machine           |
| pc88m2sh                   | pc8801mk2sr              | 0.135        |             | Machine           |
| pc9801                     | pc9801f                  | 0.142        |             | Machine           |
| pc9801_kbd_                | pc9801_kbd               | 0.186        |             | Device            |
| pc9821a                    | pc9821v13                | 0.143u4      |             | Machine           |
| pccga                      | ibmpca                   | 0.037b8      |             | Machine           |
| pcd8544                    | pcd8544_device           | 0.186        |             | Device            |
| pcfava                     | pcfavor                  | 0.175        |             | Machine           |
| pchmp95                    | witch                    | 0.099u6      |             | Machine           |
| pchmp95v                   | pbchmp95                 | 0.099u6      |             | Machine           |
| pcjr_graphics_adapter      | pcjr_graphics            | 0.186        |             | Device            |
| pcktgl2j                   | pcktgal2j                | 0.133u1      |             | Machine           |
| pclb297w                   | prc297wi                 | 0.171        |             | Machine           |
| pclb298a                   | prc298au                 | 0.171        |             | Machine           |
| pclub298                   | prc298sp                 | 0.171        |             | Machine           |
| pcm2_prot                  | ng_pcm2_prot             | 0.186        |             | Device            |
| pcnewz                     | pcgold                   | 0.175        |             | Machine           |
| pcnfrk3m                   | drmn3m                   | 0.113u3      |             | Machine           |
| pcw                        | pcw10                    | 0.037b5      |             | Machine           |
| pdc                        | rolm_pdc                 | 0.186        |             | Device            |
| pdp1_punchtape_image       | pdp1_punchtape_image_dev | 0.186        |             | Device            |
| pdrifta                    | pdrifte                  | 0.108u5      |             | Machine           |
| peke1012                   | peke1012a                | 0.169        |             | Machine           |
| peke1012                   | peke1012a                | 0.165        |             | Machine           |
| peke1012a                  | peke1012b                | 0.169        |             | Machine           |
| peke1013                   | peke1013a                | 0.167        |             | Machine           |
| pelpetus                   | pelipeteu                | 0.175        |             | Machine           |
| penbrosk                   | ablastb                  | 0.193        |             | Machine           |
| pengoa                     | pengo2u                  | 0.033b7      |             | Machine           |
| pengpays                   | pengpayu                 | 0.175        |             | Machine           |
| pengpayuc                  | pengpayce                | 0.194        |             | Machine           |
| penocup                    | ttchamp                  | 0.102        |             | Machine           |
| penpay20                   | pengpaya                 | 0.175        |             | Machine           |
| penpaya                    | pengpayb                 | 0.175        |             | Machine           |
| penpayus                   | pengpyce                 | 0.175        |             | Machine           |
| pepk0756                   | pepk0756a                | 0.172        |             | Machine           |
| pepk0756a                  | pepk0756b                | 0.172        |             | Machine           |
| pepk0756b                  | pepk0756c                | 0.172        |             | Machine           |
| peplus                     | pepp0516                 | 0.121u2      |             | Machine           |
| pepp0008                   | pepp0008b                | 0.180        |             | Machine           |
| pepp0040a                  | pepp0040b                | 0.163        |             | Machine           |
| pepp0042                   | pepp0042a                | 0.167        |             | Machine           |
| pepp0048                   | pepp0048b                | 0.180        |             | Machine           |
| pepp0055                   | pepp0055b                | 0.180        |             | Machine           |
| pepp0055a                  | pepp0055                 | 0.180        |             | Machine           |
| pepp0055b                  | pepp0055a                | 0.180        |             | Machine           |
| pepp0055b                  | pepp0055c                | 0.167        |             | Machine           |
| pepp0057a                  | pepp0057d                | 0.180        |             | Machine           |
| pepp0060                   | pepp0060a                | 0.154        |             | Machine           |
| pepp0060a                  | pepp0060                 | 0.154        |             | Machine           |
| pepp0060b                  | pepp0060c                | 0.169        |             | Machine           |
| pepp0103                   | pepp0103b                | 0.180        |             | Machine           |
| pepp0126                   | pepp0126a                | 0.180        |             | Machine           |
| pepp0127a                  | pepp0127b                | 0.180        |             | Machine           |
| pepp0158                   | pepp0158a                | 0.155        |             | Machine           |
| pepp0158a                  | pepp0158b                | 0.155        |             | Machine           |
| pepp0158b                  | pepp0158c                | 0.160        |             | Machine           |
| pepp0158b                  | pepp0158c                | 0.155        |             | Machine           |
| pepp0158c                  | pepp0158d                | 0.160        |             | Machine           |
| pepp0190                   | pepp0190a                | 0.160        |             | Machine           |
| pepp0190a                  | pepp0190b                | 0.169        |             | Machine           |
| pepp0190a                  | pepp0190b                | 0.160        |             | Machine           |
| pepp0190b                  | pepp0190c                | 0.169        |             | Machine           |
| pepp0197                   | pepp0197b                | 0.154        |             | Machine           |
| pepp0197a                  | pepp0197b                | 0.163        |             | Machine           |
| pepp0197a                  | pepp0197                 | 0.154        |             | Machine           |
| pepp0197b                  | pepp0197c                | 0.163        |             | Machine           |
| pepp0197c                  | pepp0197d                | 0.168        |             | Machine           |
| pepp0203                   | pepp0203b                | 0.154        |             | Machine           |
| pepp0203a                  | pepp0203                 | 0.154        |             | Machine           |
| pepp0203b                  | pepp0203c                | 0.168        |             | Machine           |
| pepp0203b                  | pepp0203a                | 0.154        |             | Machine           |
| pepp0203c                  | pepp0203d                | 0.168        |             | Machine           |
| pepp0203d                  | pepp0203e                | 0.168        |             | Machine           |
| pepp0235                   | pepp0265a                | 0.153        |             | Machine           |
| pepp0250                   | pepp0250a                | 0.163        |             | Machine           |
| pepp0265                   | pepp0265a                | 0.154        |             | Machine           |
| pepp0265a                  | pepp0265                 | 0.154        |             | Machine           |
| pepp0265b                  | pepp0265c                | 0.169        |             | Machine           |
| pepp0290                   | pepp0290a                | 0.169        |             | Machine           |
| pepp0410                   | pepp0410a                | 0.163        |             | Machine           |
| pepp0417                   | pepp0417a                | 0.154        |             | Machine           |
| pepp0417a                  | pepp0417                 | 0.154        |             | Machine           |
| pepp0423                   | pepp0423b                | 0.163        |             | Machine           |
| pepp0452                   | pepp0452a                | 0.180        |             | Machine           |
| pepp0515                   | pepp0515a                | 0.167        |             | Machine           |
| pepp0515                   | pepp0515a                | 0.160        |             | Machine           |
| pepp0515a                  | pepp0515b                | 0.167        |             | Machine           |
| pepp0515a                  | pepp0515b                | 0.160        |             | Machine           |
| pepp0515b                  | pepp0515c                | 0.167        |             | Machine           |
| pepp0516                   | pepp0516a                | 0.154        |             | Machine           |
| pepp0516a                  | pepp0516                 | 0.154        |             | Machine           |
| pepp0542                   | pepp0542a                | 0.161        |             | Machine           |
| perestrf                   | perestrof                | 0.133u1      |             | Machine           |
| perestro                   | perestrf                 | 0.079        |             | Machine           |
| perfrmau                   | perfrmanu                | 0.133u1      |             | Machine           |
| periph                     | iteagle_periph           | 0.186        |             | Device            |
| pet40b                     | pet4032                  | 0.148u1      |             | Machine           |
| pet40n                     | pet4016                  | 0.148u1      |             | Machine           |
| pet40ob                    | pet4032b                 | 0.148u1      |             | Machine           |
| pet80                      | pet8032                  | 0.148u1      |             | Machine           |
| petshop                    | petshopa                 | 0.183        |             | Machine           |
| petshopa                   | petshop                  | 0.175        |             | Machine           |
| pex0002pa                  | pex0055pq                | 0.169        |             | Machine           |
| pexmp002                   | pexm004p                 | 0.152        |             | Machine           |
| pexmp003                   | pexm001p                 | 0.152        |             | Machine           |
| pexmp004                   | pexm005p                 | 0.152        |             | Machine           |
| pexmp006                   | pexmp006a                | 0.151        |             | Machine           |
| pexmp006a                  | pexm002p                 | 0.152        |             | Machine           |
| pexmp030                   | pexmp030a                | 0.162        |             | Machine           |
| pexp0019                   | pex2025p                 | 0.151        |             | Machine           |
| pexp0112                   | pex2035p                 | 0.151        |             | Machine           |
| pexs0006                   | pex0998s                 | 0.152        |             | Machine           |
| pharpor                    | pharfor                  | 0.175        |             | Machine           |
| phelios                    | pheliosj                 | 0.161        |             | Machine           |
| phi                        | hp_phi                   | 0.186        |             | Device            |
| phoenix                    | phoenixt                 | 0.027        |             | Machine           |
| phoenixa                   | phoenixb                 | 0.110u5      |             | Machine           |
| phoenixa                   | phoenix                  | 0.027        |             | Machine           |
| photoy2k                   | photoy2k104              | 0.138        |             | Machine           |
| phrcraza                   | phrcrazea                | 0.133u1      |             | Machine           |
| phrcrazea                  | phrcrazeb                | 0.137u3      |             | Machine           |
| phrcrazes                  | phrcrazev                | 0.137u3      |             | Machine           |
| phrcrazs                   | phrcrazes                | 0.133u1      |             | Machine           |
| pickwin                    | pickwino2                | 0.133u2      |             | Machine           |
| pickwina                   | pickwino                 | 0.133u2      |             | Machine           |
| pickwinb                   | pickwinbt                | 0.133u2      |             | Machine           |
| pickwinb2                  | pickwinb1                | 0.133u2      |             | Machine           |
| pickwind                   | pickwindt                | 0.133u2      |             | Machine           |
| pickwind2                  | pickwind1                | 0.133u2      |             | Machine           |
| pickwinv                   | pickwinvt                | 0.133u2      |             | Machine           |
| pickwinv2                  | pickwin                  | 0.133u2      |             | Machine           |
| pickwinv3                  | pickwinv1                | 0.133u2      |             | Machine           |
| picoe                      | pico                     | 0.128        |             | Machine           |
| pinbo                      | pinbos                   | 0.036b13     |             | Machine           |
| pipedrm                    | pipedrmu                 | 0.129u5      |             | Machine           |
| pipedrm                    | pipedrmj                 | 0.037b10     |             | Machine           |
| pipibibi                   | pipibibsbl               | 0.141u1      |             | Machine           |
| pir2001                    | pir2001o                 | 0.133u2      |             | Machine           |
| pir2001a                   | pir2001o2                | 0.133u2      |             | Machine           |
| pir2001b                   | pir2001o3                | 0.133u2      |             | Machine           |
| pir2001b2                  | pir2001bx                | 0.133u2      |             | Machine           |
| pir2001b3                  | pir2001b1                | 0.133u2      |             | Machine           |
| pir2001d                   | pir2001d1                | 0.133u2      |             | Machine           |
