#  allMAMErenamed 0.01 > 0.196
#
#  All sets renamed, from the first version,
#  in alphabetical order
#
#
#  © 2010/2018 AntoPISA
#
#
----------------------------------------------------------------------------------------------------------
| Old_NameSet                | New_NameSet              | Change_In    | Note        |  Type             |
| amidar                     | amidar1                  | 0.142u4      |             | Machine           |
| amidar                     | amidaru                  | 0.035b8      |             | Machine           |
| amidar                     | amidarjp                 | 0.014        |             | Machine           |
| amidarjp                   | amidar                   | 0.035b8      |             | Machine           |
| amidarus                   | amidar                   | 0.014        |             | Machine           |
| amiga                      | a500n                    | 0.112        |             | Machine           |
| amiga_paula                | paula_8364               | 0.183        |             | Device            |
| amstrad                    | cpc6128                  | 0.033b7      |             | Machine           |
| amzqnar                    | amzqueen                 | 0.175        |             | Machine           |
| amzteml                    | amztempl                 | 0.175        |             | Machine           |
| androidp                   | androidpo                | 0.173        |             | Machine           |
| anibonus                   | anibonusxo               | 0.133u2      |             | Machine           |
| anibonus2                  | anibonuso                | 0.133u2      |             | Machine           |
| anibonus3                  | anibonusxo2              | 0.133u2      |             | Machine           |
| anibonus4                  | anibonusxo3              | 0.133u2      |             | Machine           |
| anibonus5                  | anibonuso2               | 0.133u2      |             | Machine           |
| anibonus6                  | anibonuso3               | 0.133u2      |             | Machine           |
| anibonusb                  | anibonusb1               | 0.133u2      |             | Machine           |
| anibonusd                  | anibonusd1               | 0.133u2      |             | Machine           |
| anibonusv                  | anibonusv1               | 0.133u2      |             | Machine           |
| anibonusv3                 | anibonus                 | 0.133u2      |             | Machine           |
| animaljr                   | animaljrs                | 0.138u3      |             | Machine           |
| anithunt                   | anithunto                | 0.133u2      |             | Machine           |
| anithunt2                  | anithunto2               | 0.133u2      |             | Machine           |
| anithuntb                  | anithunt                 | 0.133u2      |             | Machine           |
| anithuntd                  | anithuntd1               | 0.133u2      |             | Machine           |
| anithuntv                  | anithuntv1               | 0.133u2      |             | Machine           |
| antcleo                    | antcleom                 | 0.175        |             | Machine           |
| anteatg                    | anteaterg                | 0.141u4      |             | Machine           |
| anteatgb                   | anteateruk               | 0.141u4      |             | Machine           |
| apb                        | apb5                     | 0.076u1      |             | Machine           |
| apb2                       | apb4                     | 0.076u1      |             | Machine           |
| apl2cpls                   | apple2cp                 | 0.033b7      |             | Machine           |
| apple_fdc                  | d2fdc                    | 0.154        |             | Device            |
| apple2g0                   | apple2gsr0               | 0.132        |             | Machine           |
| apple2g1                   | apple2gsr1               | 0.132        |             | Machine           |
| aprif1                     | f1                       | 0.144u4      |             | Machine           |
| aprif10                    | f10                      | 0.144u4      |             | Machine           |
| aprifp                     | fp                       | 0.144u4      |             | Machine           |
| aprixi                     | apricotxi                | 0.137        |             | Machine           |
