#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
| m4rfym__x                 | 0.146u5          | MAME     |
| m4rfym__y                 | 0.146u5          | MAME     |
| m4rfym__z                 | 0.146u5          | MAME     |
| m4rhfev                   | 0.143u2          | MAME     |
| m4rhfev__a                | 0.146u5          | MAME     |
| m4rhfev__b                | 0.146u5          | MAME     |
| m4rhfev__c                | 0.146u5          | MAME     |
| m4rhfev__d                | 0.146u5          | MAME     |
| m4rhfevc                  | 0.146u5          | MAME     |
| m4rhfevc__a               | 0.146u5          | MAME     |
| m4rhfevc__b               | 0.146u5          | MAME     |
| m4rhfevc__c               | 0.146u5          | MAME     |
| m4rhfevc__d               | 0.146u5          | MAME     |
| m4rhfevc__e               | 0.146u5          | MAME     |
| m4rhfevc__f               | 0.146u5          | MAME     |
| m4rhfevc__g               | 0.146u5          | MAME     |
| m4rhfevc__h               | 0.146u5          | MAME     |
| m4rhfevc__i               | 0.146u5          | MAME     |
| m4rhfevc__j               | 0.146u5          | MAME     |
| m4rhfevc__k               | 0.146u5          | MAME     |
| m4rhfevc__l               | 0.146u5          | MAME     |
| m4rhfevc__m               | 0.146u5          | MAME     |
| m4rhfevc__n               | 0.146u5          | MAME     |
| m4rhfevc__o               | 0.146u5          | MAME     |
| m4rhfevc__p               | 0.146u5          | MAME     |
| m4rhfevc__q               | 0.146u5          | MAME     |
| m4rhfevc__r               | 0.146u5          | MAME     |
| m4rhfevc__s               | 0.146u5          | MAME     |
| m4rhfevc__t               | 0.146u5          | MAME     |
| m4rhfevc__u               | 0.146u5          | MAME     |
| m4rhfevc__v               | 0.146u5          | MAME     |
| m4rhfevc__w               | 0.146u5          | MAME     |
| m4rhfevc__x               | 0.146u5          | MAME     |
| m4rhfevc__y               | 0.143u6          | MAME     |
| m4rhnote                  | 0.143u4          | MAME     |
| m4rhnote__a               | 0.146u5          | MAME     |
| m4rhnote__b               | 0.146u5          | MAME     |
| m4rhnote__c               | 0.146u5          | MAME     |
| m4rhnote__d               | 0.146u5          | MAME     |
| m4rhnote__e               | 0.146u5          | MAME     |
| m4rhnote__f               | 0.146u5          | MAME     |
| m4rhnote__g               | 0.146u5          | MAME     |
| m4rhnote__h               | 0.146u5          | MAME     |
| m4rhnote__i               | 0.146u5          | MAME     |
| m4rhnote__j               | 0.146u5          | MAME     |
| m4rhnote__k               | 0.146u5          | MAME     |
| m4rhnote__l               | 0.146u5          | MAME     |
| m4rhnote__m               | 0.146u5          | MAME     |
| m4rhnote__n               | 0.146u5          | MAME     |
| m4rhnote__o               | 0.146u5          | MAME     |
| m4rhnote__p               | 0.146u5          | MAME     |
| m4rhnote__q               | 0.146u5          | MAME     |
| m4rhnote__r               | 0.146u5          | MAME     |
| m4rhnote__s               | 0.146u5          | MAME     |
| m4rhnote__t               | 0.146u5          | MAME     |
| m4rhnote__u               | 0.146u5          | MAME     |
| m4rhnote__v               | 0.146u5          | MAME     |
| m4rhnote__w               | 0.146u5          | MAME     |
| m4rhnote__x               | 0.146u5          | MAME     |
| m4rhnote__y               | 0.146u5          | MAME     |
| m4rhog                    | 0.146u5          | MAME     |
| m4rhog_h1                 | 0.146u5          | MAME     |
| m4rhog_h10                | 0.146u5          | MAME     |
| m4rhog_h11                | 0.146u5          | MAME     |
| m4rhog_h12                | 0.146u5          | MAME     |
| m4rhog_h13                | 0.146u5          | MAME     |
| m4rhog_h14                | 0.146u5          | MAME     |
| m4rhog_h15                | 0.146u5          | MAME     |
| m4rhog_h2                 | 0.146u5          | MAME     |
| m4rhog_h3                 | 0.146u5          | MAME     |
| m4rhog_h4                 | 0.146u5          | MAME     |
| m4rhog_h5                 | 0.146u5          | MAME     |
| m4rhog_h6                 | 0.146u5          | MAME     |
| m4rhog_h7                 | 0.146u5          | MAME     |
| m4rhog_h8                 | 0.146u5          | MAME     |
| m4rhog_h9                 | 0.146u5          | MAME     |
| m4rhog_roc                | 0.146u5          | MAME     |
| m4rhog2                   | 0.146u5          | MAME     |
| m4rhog2__a                | 0.143u2          | MAME     |
| m4rhog2__b                | 0.146u5          | MAME     |
| m4rhog2__c                | 0.146u5          | MAME     |
| m4rhog2__d                | 0.146u5          | MAME     |
| m4rhog2__e                | 0.146u5          | MAME     |
| m4rhog2__f                | 0.146u5          | MAME     |
| m4rhog2__g                | 0.146u5          | MAME     |
| m4rhog2__h                | 0.146u5          | MAME     |
| m4rhog2__i                | 0.146u5          | MAME     |
| m4rhog2__j                | 0.146u5          | MAME     |
| m4rhog2__k                | 0.146u5          | MAME     |
| m4rhog2__l                | 0.146u5          | MAME     |
| m4rhog2__m                | 0.146u5          | MAME     |
| m4rhogc                   | 0.146u5          | MAME     |
| m4rhogc__a                | 0.146u5          | MAME     |
| m4rhogc__b                | 0.143u2          | MAME     |
| m4rhogr1                  | 0.146u5          | MAME     |
| m4rhogr1c                 | 0.146u5          | MAME     |
| m4rhogr1d                 | 0.146u5          | MAME     |
| m4rhogr1k                 | 0.146u5          | MAME     |
| m4rhogr1k_a               | 0.146u5          | MAME     |
| m4rhogr1y                 | 0.146u5          | MAME     |
| m4rhogr1yd                | 0.146u5          | MAME     |
| m4rhogr2                  | 0.146u5          | MAME     |
| m4rhogr2c                 | 0.146u5          | MAME     |
| m4rhogr2d                 | 0.146u5          | MAME     |
| m4rhogr2k                 | 0.146u5          | MAME     |
| m4rhogr2y                 | 0.146u5          | MAME     |
| m4rhogr2yd                | 0.146u5          | MAME     |
| m4rhogr3                  | 0.146u5          | MAME     |
| m4rhogr6ad                | 0.146u5          | MAME     |
| m4rhogr6b                 | 0.146u5          | MAME     |
| m4rhogr6c                 | 0.146u5          | MAME     |
| m4rhogr6d                 | 0.146u5          | MAME     |
| m4rhogr6k                 | 0.146u5          | MAME     |
| m4rhogr6y                 | 0.146u5          | MAME     |
| m4rhogr6y_a               | 0.143u2          | MAME     |
| m4rhogr6yd                | 0.146u5          | MAME     |
| m4rhr                     | 0.146u5          | MAME     |
| m4rhr__0                  | 0.146u5          | MAME     |
| m4rhr__1                  | 0.146u5          | MAME     |
| m4rhr__2                  | 0.146u5          | MAME     |
| m4rhr__3                  | 0.146u5          | MAME     |
| m4rhr__4                  | 0.146u5          | MAME     |
| m4rhr__5                  | 0.146u5          | MAME     |
| m4rhr__6                  | 0.146u5          | MAME     |
| m4rhr__7                  | 0.146u5          | MAME     |
| m4rhr__8                  | 0.146u5          | MAME     |
| m4rhr__9                  | 0.146u5          | MAME     |
| m4rhr__a                  | 0.143u2          | MAME     |
| m4rhr__a0                 | 0.146u5          | MAME     |
| m4rhr__a1                 | 0.146u5          | MAME     |
| m4rhr__a2                 | 0.146u5          | MAME     |
| m4rhr__a3                 | 0.146u5          | MAME     |
| m4rhr__a4                 | 0.146u5          | MAME     |
| m4rhr__aa                 | 0.146u5          | MAME     |
| m4rhr__ab                 | 0.146u5          | MAME     |
| m4rhr__ac                 | 0.146u5          | MAME     |
| m4rhr__ad                 | 0.146u5          | MAME     |
| m4rhr__ae                 | 0.146u5          | MAME     |
| m4rhr__af                 | 0.146u5          | MAME     |
| m4rhr__ag                 | 0.146u5          | MAME     |
| m4rhr__ah                 | 0.146u5          | MAME     |
| m4rhr__ai                 | 0.146u5          | MAME     |
| m4rhr__aj                 | 0.146u5          | MAME     |
| m4rhr__ak                 | 0.146u5          | MAME     |
| m4rhr__al                 | 0.146u5          | MAME     |
| m4rhr__am                 | 0.146u5          | MAME     |
| m4rhr__an                 | 0.146u5          | MAME     |
| m4rhr__ao                 | 0.146u5          | MAME     |
| m4rhr__ap                 | 0.146u5          | MAME     |
| m4rhr__aq                 | 0.146u5          | MAME     |
| m4rhr__ar                 | 0.146u5          | MAME     |
| m4rhr__as                 | 0.146u5          | MAME     |
| m4rhr__at                 | 0.146u5          | MAME     |
| m4rhr__au                 | 0.146u5          | MAME     |
| m4rhr__av                 | 0.146u5          | MAME     |
| m4rhr__aw                 | 0.146u5          | MAME     |
| m4rhr__ax                 | 0.146u5          | MAME     |
| m4rhr__ay                 | 0.146u5          | MAME     |
| m4rhr__az                 | 0.146u5          | MAME     |
| m4rhr__b                  | 0.146u5          | MAME     |
| m4rhr__c                  | 0.146u5          | MAME     |
| m4rhr__d                  | 0.146u5          | MAME     |
| m4rhr__e                  | 0.146u5          | MAME     |
| m4rhr__f                  | 0.146u5          | MAME     |
| m4rhr__g                  | 0.146u5          | MAME     |
| m4rhr__h                  | 0.146u5          | MAME     |
| m4rhr__i                  | 0.146u5          | MAME     |
| m4rhr__j                  | 0.146u5          | MAME     |
| m4rhr__k                  | 0.146u5          | MAME     |
| m4rhr__l                  | 0.146u5          | MAME     |
| m4rhr__m                  | 0.146u5          | MAME     |
| m4rhr__n                  | 0.146u5          | MAME     |
| m4rhr__o                  | 0.146u5          | MAME     |
| m4rhr__p                  | 0.146u5          | MAME     |
| m4rhr__q                  | 0.146u5          | MAME     |
| m4rhr__r                  | 0.146u5          | MAME     |
| m4rhr__s                  | 0.146u5          | MAME     |
| m4rhr__t                  | 0.146u5          | MAME     |
| m4rhr__u                  | 0.146u5          | MAME     |
| m4rhr__v                  | 0.146u5          | MAME     |
| m4rhr__w                  | 0.146u5          | MAME     |
| m4rhr__x                  | 0.146u5          | MAME     |
| m4rhr__y                  | 0.146u5          | MAME     |
| m4rhr__z                  | 0.146u5          | MAME     |
| m4rhrc                    | 0.143u2          | MAME     |
| m4rhrc__0                 | 0.146u5          | MAME     |
| m4rhrc__1                 | 0.146u5          | MAME     |
| m4rhrc__2                 | 0.146u5          | MAME     |
| m4rhrc__3                 | 0.146u5          | MAME     |
| m4rhrc__4                 | 0.146u5          | MAME     |
| m4rhrc__5                 | 0.146u5          | MAME     |
| m4rhrc__6                 | 0.146u5          | MAME     |
| m4rhrc__7                 | 0.146u5          | MAME     |
| m4rhrc__8                 | 0.146u5          | MAME     |
| m4rhrc__a                 | 0.146u5          | MAME     |
| m4rhrc__aa                | 0.146u5          | MAME     |
| m4rhrc__b                 | 0.146u5          | MAME     |
| m4rhrc__c                 | 0.146u5          | MAME     |
| m4rhrc__d                 | 0.146u5          | MAME     |
| m4rhrc__e                 | 0.146u5          | MAME     |
| m4rhrc__f                 | 0.146u5          | MAME     |
| m4rhrc__g                 | 0.146u5          | MAME     |
| m4rhrc__h                 | 0.146u5          | MAME     |
| m4rhrc__i                 | 0.146u5          | MAME     |
| m4rhrc__j                 | 0.146u5          | MAME     |
| m4rhrc__k                 | 0.146u5          | MAME     |
| m4rhrc__l                 | 0.146u5          | MAME     |
| m4rhrc__m                 | 0.146u5          | MAME     |
| m4rhrc__n                 | 0.146u5          | MAME     |
| m4rhrc__o                 | 0.146u5          | MAME     |
| m4rhrc__p                 | 0.146u5          | MAME     |
| m4rhrc__q                 | 0.146u5          | MAME     |
| m4rhrc__r                 | 0.146u5          | MAME     |
| m4rhrc__s                 | 0.146u5          | MAME     |
| m4rhrc__t                 | 0.146u5          | MAME     |
| m4rhrc__u                 | 0.146u5          | MAME     |
| m4rhrc__v                 | 0.146u5          | MAME     |
| m4rhrc__w                 | 0.146u5          | MAME     |
| m4rhrc__x                 | 0.146u5          | MAME     |
| m4rhrc__y                 | 0.146u5          | MAME     |
| m4rhrc__z                 | 0.146u5          | MAME     |
| m4rhrcl                   | 0.146u5          | MAME     |
| m4rhrcl__a                | 0.143u2          | MAME     |
| m4rhrcl__b                | 0.146u5          | MAME     |
| m4rhrcl__c                | 0.146u5          | MAME     |
| m4rhrock                  | 0.146u5          | MAME     |
| m4rhrock__a               | 0.146u5          | MAME     |
| m4rhs                     | 0.143u2          | MAME     |
| m4rhs__a                  | 0.146u5          | MAME     |
| m4rhs__b                  | 0.146u5          | MAME     |
| m4rhs__c                  | 0.146u5          | MAME     |
| m4rhs__d                  | 0.146u5          | MAME     |
| m4rhs__e                  | 0.146u5          | MAME     |
| m4rhs__f                  | 0.146u5          | MAME     |
| m4rhs__g                  | 0.146u5          | MAME     |
| m4rhs__h                  | 0.146u5          | MAME     |
| m4rhs__i                  | 0.146u5          | MAME     |
| m4rhs__j                  | 0.146u5          | MAME     |
| m4rhs__k                  | 0.146u5          | MAME     |
| m4rhs__l                  | 0.146u5          | MAME     |
| m4rhwhl                   | 0.143u4          | MAME     |
| m4rhwhl__a                | 0.146u5          | MAME     |
| m4rhwhl__b                | 0.146u5          | MAME     |
| m4rhwhl__c                | 0.146u5          | MAME     |
| m4richfm                  | 0.146u5          | MAME     |
| m4richfm__0               | 0.143u2          | MAME     |
| m4richfm__1               | 0.146u5          | MAME     |
| m4richfm__2               | 0.146u5          | MAME     |
| m4richfm__3               | 0.146u5          | MAME     |
| m4richfm__a               | 0.146u5          | MAME     |
| m4richfm__b               | 0.146u5          | MAME     |
| m4richfm__c               | 0.146u5          | MAME     |
| m4richfm__d               | 0.146u5          | MAME     |
| m4richfm__e               | 0.146u5          | MAME     |
| m4richfm__f               | 0.146u5          | MAME     |
| m4richfm__g               | 0.146u5          | MAME     |
| m4richfm__h               | 0.146u5          | MAME     |
| m4richfm__i               | 0.146u5          | MAME     |
| m4richfm__j               | 0.146u5          | MAME     |
| m4richfm__k               | 0.146u5          | MAME     |
| m4richfm__l               | 0.146u5          | MAME     |
| m4richfm__m               | 0.146u5          | MAME     |
| m4richfm__n               | 0.146u5          | MAME     |
| m4richfm__o               | 0.146u5          | MAME     |
| m4richfm__p               | 0.146u5          | MAME     |
| m4richfm__q               | 0.146u5          | MAME     |
| m4richfm__r               | 0.146u5          | MAME     |
| m4richfm__s               | 0.146u5          | MAME     |
| m4richfm__t               | 0.146u5          | MAME     |
| m4richfm__u               | 0.146u5          | MAME     |
| m4richfm__v               | 0.146u5          | MAME     |
| m4richfm__w               | 0.146u5          | MAME     |
| m4richfm__x               | 0.146u5          | MAME     |
| m4richfm__y               | 0.146u5          | MAME     |
| m4richfm__z               | 0.146u5          | MAME     |
| m4ringfr                  | 0.143u2          | MAME     |
| m4riocr                   | 0.143u4          | MAME     |
| m4riocra                  | 0.146u5          | MAME     |
| m4riotrp                  | 0.143u2          | MAME     |
| m4rlpick                  | 0.143u3          | MAME     |
| m4rlpicka                 | 0.146u5          | MAME     |
| m4rlpickb                 | 0.146u5          | MAME     |
| m4rlpickc                 | 0.146u5          | MAME     |
| m4rltst                   | 0.146u5          | MAME     |
| m4rmg                     | 0.143u2          | MAME     |
| m4rmtp                    | 0.143u2          | MAME     |
| m4rmtp__a                 | 0.146u5          | MAME     |
| m4rmtp__b                 | 0.146u5          | MAME     |
| m4rmtp__c                 | 0.146u5          | MAME     |
| m4rmtp__d                 | 0.146u5          | MAME     |
| m4rmtp__e                 | 0.146u5          | MAME     |
| m4rmtp__f                 | 0.146u5          | MAME     |
| m4rmtp__g                 | 0.146u5          | MAME     |
| m4rmtpd                   | 0.146u5          | MAME     |
| m4rmtpd__0                | 0.146u5          | MAME     |
| m4rmtpd__1                | 0.146u5          | MAME     |
| m4rmtpd__2                | 0.146u5          | MAME     |
| m4rmtpd__3                | 0.146u5          | MAME     |
| m4rmtpd__4                | 0.146u5          | MAME     |
| m4rmtpd__5                | 0.146u5          | MAME     |
| m4rmtpd__6                | 0.146u5          | MAME     |
| m4rmtpd__7                | 0.146u5          | MAME     |
| m4rmtpd__8                | 0.146u5          | MAME     |
| m4rmtpd__9                | 0.146u5          | MAME     |
| m4rmtpd__a                | 0.143u2          | MAME     |
| m4rmtpd__aa               | 0.146u5          | MAME     |
| m4rmtpd__ab               | 0.146u5          | MAME     |
| m4rmtpd__ac               | 0.146u5          | MAME     |
| m4rmtpd__ad               | 0.146u5          | MAME     |
| m4rmtpd__ae               | 0.146u5          | MAME     |
| m4rmtpd__af               | 0.146u5          | MAME     |
| m4rmtpd__ag               | 0.146u5          | MAME     |
| m4rmtpd__ah               | 0.146u5          | MAME     |
| m4rmtpd__ai               | 0.146u5          | MAME     |
| m4rmtpd__aj               | 0.146u5          | MAME     |
| m4rmtpd__ak               | 0.146u5          | MAME     |
| m4rmtpd__al               | 0.146u5          | MAME     |
| m4rmtpd__am               | 0.146u5          | MAME     |
| m4rmtpd__b                | 0.146u5          | MAME     |
| m4rmtpd__c                | 0.146u5          | MAME     |
| m4rmtpd__d                | 0.146u5          | MAME     |
| m4rmtpd__e                | 0.146u5          | MAME     |
| m4rmtpd__f                | 0.146u5          | MAME     |
| m4rmtpd__g                | 0.146u5          | MAME     |
| m4rmtpd__h                | 0.146u5          | MAME     |
| m4rmtpd__i                | 0.146u5          | MAME     |
| m4rmtpd__j                | 0.146u5          | MAME     |
| m4rmtpd__k                | 0.146u5          | MAME     |
| m4rmtpd__l                | 0.146u5          | MAME     |
| m4rmtpd__m                | 0.146u5          | MAME     |
| m4rmtpd__n                | 0.146u5          | MAME     |
| m4rmtpd__o                | 0.146u5          | MAME     |
| m4rmtpd__p                | 0.146u5          | MAME     |
| m4rmtpd__q                | 0.146u5          | MAME     |
| m4rmtpd__r                | 0.146u5          | MAME     |
| m4rmtpd__s                | 0.146u5          | MAME     |
| m4rmtpd__t                | 0.146u5          | MAME     |
| m4rmtpd__u                | 0.146u5          | MAME     |
| m4rmtpd__v                | 0.146u5          | MAME     |
| m4rmtpd__w                | 0.146u5          | MAME     |
| m4rmtpd__x                | 0.146u5          | MAME     |
| m4rmtpd__y                | 0.146u5          | MAME     |
| m4rmtpd__z                | 0.146u5          | MAME     |
| m4roadrn                  | 0.143u2          | MAME     |
| m4robo                    | 0.143u6          | MAME     |
| m4robo__0                 | 0.146u5          | MAME     |
| m4robo__1                 | 0.146u5          | MAME     |
| m4robo__2                 | 0.146u5          | MAME     |
| m4robo__3                 | 0.146u5          | MAME     |
| m4robo__4                 | 0.146u5          | MAME     |
| m4robo__5                 | 0.146u5          | MAME     |
| m4robo__6                 | 0.146u5          | MAME     |
| m4robo__7                 | 0.146u5          | MAME     |
| m4robo__8                 | 0.146u5          | MAME     |
| m4robo__9                 | 0.146u5          | MAME     |
| m4robo__a                 | 0.146u5          | MAME     |
| m4robo__aa                | 0.146u5          | MAME     |
| m4robo__ab                | 0.146u5          | MAME     |
| m4robo__b                 | 0.146u5          | MAME     |
| m4robo__c                 | 0.146u5          | MAME     |
| m4robo__d                 | 0.146u5          | MAME     |
| m4robo__e                 | 0.146u5          | MAME     |
| m4robo__f                 | 0.146u5          | MAME     |
| m4robo__g                 | 0.146u5          | MAME     |
| m4robo__h                 | 0.146u5          | MAME     |
| m4robo__i                 | 0.146u5          | MAME     |
| m4robo__j                 | 0.146u5          | MAME     |
| m4robo__k                 | 0.146u5          | MAME     |
| m4robo__l                 | 0.146u5          | MAME     |
| m4robo__m                 | 0.146u5          | MAME     |
| m4robo__n                 | 0.146u5          | MAME     |
| m4robo__o                 | 0.146u5          | MAME     |
| m4robo__p                 | 0.146u5          | MAME     |
| m4robo__q                 | 0.146u5          | MAME     |
| m4robo__r                 | 0.146u5          | MAME     |
| m4robo__s                 | 0.146u5          | MAME     |
| m4robo__t                 | 0.146u5          | MAME     |
| m4robo__u                 | 0.146u5          | MAME     |
| m4robo__v                 | 0.146u5          | MAME     |
| m4robo__w                 | 0.146u5          | MAME     |
| m4robo__x                 | 0.146u5          | MAME     |
| m4robo__y                 | 0.146u5          | MAME     |
| m4robo__z                 | 0.146u5          | MAME     |
| m4rockmn                  | 0.146u5          | MAME     |
| m4rockmn__a               | 0.143u2          | MAME     |
| m4rockmn__b               | 0.146u5          | MAME     |
| m4rockmn__c               | 0.146u5          | MAME     |
| m4rockmn__d               | 0.146u5          | MAME     |
| m4rockmn__e               | 0.146u5          | MAME     |
| m4rockmn__f               | 0.146u5          | MAME     |
| m4rockmn__g               | 0.146u5          | MAME     |
| m4rockmn__h               | 0.146u5          | MAME     |
| m4rockmn__i               | 0.146u5          | MAME     |
| m4rockmn__j               | 0.146u5          | MAME     |
| m4rockmn__k               | 0.146u5          | MAME     |
| m4rotex                   | 0.143u2          | MAME     |
| m4royjwl                  | 0.143u2          | MAME     |
| m4rsg                     | 0.143u2          | MAME     |
| m4rsga                    | 0.146u5          | MAME     |
| m4runawy                  | 0.143u2          | MAME     |
| m4runawyb                 | 0.143u6          | MAME     |
| m4rwb                     | 0.143u2          | MAME     |
| m4safar                   | 0.143u3          | MAME     |
| m4salsa                   | 0.143u2          | MAME     |
| m4samu                    | 0.143u2          | MAME     |
| m4sayno                   | 0.146u5          | MAME     |
| m4sayno__a                | 0.146u5          | MAME     |
| m4sayno__b                | 0.143u2          | MAME     |
| m4sayno__c                | 0.146u5          | MAME     |
| m4sayno__d                | 0.146u5          | MAME     |
| m4sb5                     | 0.143u2          | MAME     |
| m4sbx                     | 0.146u5          | MAME     |
| m4sbxa                    | 0.143u2          | MAME     |
| m4sbxb                    | 0.146u5          | MAME     |
| m4sbxc                    | 0.146u5          | MAME     |
| m4sbxd                    | 0.146u5          | MAME     |
| m4sbxe                    | 0.146u5          | MAME     |
| m4screw                   | 0.143u4          | MAME     |
| m4screwa                  | 0.143u5          | MAME     |
| m4screwb                  | 0.143u5          | MAME     |
| m4screwp                  | 0.143u5          | MAME     |
| m4sctagt                  | 0.143u2          | MAME     |
| m4sdquid                  | 0.143u4          | MAME     |
| m4sdquid__a               | 0.146u5          | MAME     |
| m4sdquid__b               | 0.146u5          | MAME     |
| m4sdquid__c               | 0.146u5          | MAME     |
| m4sdquid__d               | 0.146u5          | MAME     |
| m4sdquid__e               | 0.146u5          | MAME     |
| m4sdquid__f               | 0.146u5          | MAME     |
| m4sdquid__g               | 0.146u5          | MAME     |
| m4sdquid__h               | 0.146u5          | MAME     |
| m4sdquid__i               | 0.146u5          | MAME     |
| m4sdquid__j               | 0.146u5          | MAME     |
| m4sdquid__k               | 0.146u5          | MAME     |
| m4select                  | 0.143u2          | MAME     |
| m4sgrab                   | 0.143u2          | MAME     |
| m4sgraba                  | 0.146u5          | MAME     |
| m4sgrabb                  | 0.146u5          | MAME     |
| m4shkwav                  | 0.146u5          | MAME     |
| m4shkwav__a               | 0.146u5          | MAME     |
| m4shkwav__b               | 0.146u5          | MAME     |
| m4shkwav__c               | 0.143u4          | MAME     |
| m4shkwav__d               | 0.146u5          | MAME     |
| m4shkwav__e               | 0.146u5          | MAME     |
| m4shkwav__f               | 0.146u5          | MAME     |
| m4shkwav__g               | 0.146u5          | MAME     |
| m4shocm                   | 0.146u5          | MAME     |
| m4shocm__a                | 0.143u2          | MAME     |
| m4shocm__b                | 0.146u5          | MAME     |
| m4shocm__c                | 0.146u5          | MAME     |
| m4shocm__d                | 0.146u5          | MAME     |
| m4shocm__e                | 0.146u5          | MAME     |
| m4shocm__f                | 0.146u5          | MAME     |
| m4shocm__g                | 0.146u5          | MAME     |
| m4shocm__h                | 0.146u5          | MAME     |
| m4shocm__i                | 0.146u5          | MAME     |
| m4shocm__j                | 0.146u5          | MAME     |
| m4shodf                   | 0.146u5          | MAME     |
| m4shodf__a                | 0.143u2          | MAME     |
| m4shodf__b                | 0.146u5          | MAME     |
| m4shodf__c                | 0.146u5          | MAME     |
| m4shodf__d                | 0.146u5          | MAME     |
| m4shodf__e                | 0.146u5          | MAME     |
| m4shodf__f                | 0.146u5          | MAME     |
| m4shodf__g                | 0.146u5          | MAME     |
| m4shodf__h                | 0.146u5          | MAME     |
| m4shodf__i                | 0.146u5          | MAME     |
| m4shodf__j                | 0.146u5          | MAME     |
| m4shodf__k                | 0.146u5          | MAME     |
| m4shodf__l                | 0.146u5          | MAME     |
| m4shoknr                  | 0.146u5          | MAME     |
| m4shoknr__a               | 0.146u5          | MAME     |
| m4shoknr__b               | 0.146u5          | MAME     |
| m4shoknr__c               | 0.146u5          | MAME     |
| m4showtm                  | 0.143u2          | MAME     |
| m4silnud                  | 0.143u2          | MAME     |
| m4silshd                  | 0.143u2          | MAME     |
| m4silshda                 | 0.146u5          | MAME     |
| m4silshdb                 | 0.146u5          | MAME     |
| m4sinbd                   | 0.143u2          | MAME     |
| m4sinbd__a                | 0.146u5          | MAME     |
| m4sinbd__b                | 0.146u5          | MAME     |
| m4sinbd__c                | 0.146u5          | MAME     |
| m4sinbd__d                | 0.146u5          | MAME     |
| m4sinbd__e                | 0.146u5          | MAME     |
| m4sinbd__f                | 0.146u5          | MAME     |
| m4sinbd__g                | 0.146u5          | MAME     |
| m4sinbd__h                | 0.146u5          | MAME     |
| m4sinbd__i                | 0.146u5          | MAME     |
| m4sinbd__j                | 0.146u5          | MAME     |
| m4sinbd__k                | 0.146u5          | MAME     |
| m4sinbd__l                | 0.146u5          | MAME     |
| m4sinbd__m                | 0.146u5          | MAME     |
| m4sinbd__n                | 0.146u5          | MAME     |
| m4sinbd__o                | 0.146u5          | MAME     |
| m4sinbd__p                | 0.146u5          | MAME     |
| m4sinbd__q                | 0.146u5          | MAME     |
| m4sinbd__r                | 0.146u5          | MAME     |
| m4sinbd__s                | 0.146u5          | MAME     |
| m4sinbd__t                | 0.146u5          | MAME     |
| m4sinbd__u                | 0.146u5          | MAME     |
| m4sinbd__v                | 0.146u5          | MAME     |
| m4sinbd__w                | 0.146u5          | MAME     |
| m4sinbd__x                | 0.146u5          | MAME     |
| m4sinbdn                  | 0.143u4          | MAME     |
| m4sinbdn__a               | 0.143u4          | MAME     |
| m4sinbdn__b               | 0.143u4          | MAME     |
| m4sinbdn__c               | 0.143u4          | MAME     |
| m4sinbdn__d               | 0.143u4          | MAME     |
| m4sinbdn__e               | 0.143u4          | MAME     |
| m4sinbdn__f               | 0.143u4          | MAME     |
| m4sky                     | 0.143u2          | MAME     |
| m4sky__a                  | 0.146u5          | MAME     |
| m4sky__b                  | 0.146u5          | MAME     |
| m4sky__c                  | 0.146u5          | MAME     |
| m4sky__d                  | 0.146u5          | MAME     |
| m4smshgb                  | 0.143u2          | MAME     |
| m4smshgba                 | 0.143u2          | MAME     |
| m4smshgbb                 | 0.143u2          | MAME     |
| m4smshgbc                 | 0.143u2          | MAME     |
| m4snklad                  | 0.143u2          | MAME     |
| m4snookr                  | 0.143u2          | MAME     |
| m4snowbl                  | 0.143u3          | MAME     |
| m4solsil                  | 0.143u2          | MAME     |
| m4solsila                 | 0.146u5          | MAME     |
| m4souls                   | 0.143u2          | MAME     |
| m4souls__a                | 0.146u5          | MAME     |
| m4souls__b                | 0.146u5          | MAME     |
| m4souls__c                | 0.146u5          | MAME     |
| m4souls__d                | 0.146u5          | MAME     |
| m4souls__e                | 0.146u5          | MAME     |
| m4souls__f                | 0.146u5          | MAME     |
| m4specu                   | 0.143u2          | MAME     |
| m4spinbt                  | 0.143u2          | MAME     |
| m4spinbt__a               | 0.146u5          | MAME     |
| m4spinbt__b               | 0.146u5          | MAME     |
| m4spinbt__c               | 0.146u5          | MAME     |
| m4spinbt__d               | 0.146u5          | MAME     |
| m4spinbt__e               | 0.146u5          | MAME     |
| m4spinbt__f               | 0.146u5          | MAME     |
| m4spinbt__g               | 0.146u5          | MAME     |
| m4spnwin                  | 0.143u2          | MAME     |
| m4spnwina                 | 0.146u5          | MAME     |
| m4spnwnc                  | 0.143u6          | MAME     |
| m4spnwnc__a               | 0.146u5          | MAME     |
| m4spnwnc__b               | 0.146u5          | MAME     |
| m4spotln                  | 0.143u4          | MAME     |
| m4spton                   | 0.143u2          | MAME     |
| m4squid                   | 0.146u5          | MAME     |
| m4squid__a                | 0.143u2          | MAME     |
| m4squid__b                | 0.146u5          | MAME     |
| m4squid__c                | 0.146u5          | MAME     |
| m4ssclas                  | 0.143u2          | MAME     |
| m4ssclas__a               | 0.146u5          | MAME     |
| m4ssclas__b               | 0.146u5          | MAME     |
| m4ssclas__c               | 0.146u5          | MAME     |
| m4ssclas__d               | 0.146u5          | MAME     |
| m4ssclas__e               | 0.146u5          | MAME     |
