#  addMAME 0.01 > 0.196
#
#  © 2014/2018 AntoPISA of www.progettosnaps.net
#
#  Total sets: 35,074
#
#
-----------------------------------------------------------
| S e t                     | Added in version | T y p e  |
| ac1piacla                 | 0.143u4          | MAME     |
| ac1piaclb                 | 0.146u4          | MAME     |
| ac1piaclc                 | 0.146u4          | MAME     |
| ac1primt                  | 0.146u4          | MAME     |
| ac1prmcl                  | 0.143u4          | MAME     |
| ac1prmcla                 | 0.146u4          | MAME     |
| ac1prmclb                 | 0.146u4          | MAME     |
| ac1prmclc                 | 0.146u4          | MAME     |
| ac1pster                  | 0.143u3          | MAME     |
| ac1pstrt                  | 0.143u3          | MAME     |
| ac1roll                   | 0.143u3          | MAME     |
| ac1rolla                  | 0.146u4          | MAME     |
| ac1rollb                  | 0.146u4          | MAME     |
| ac1rundx                  | 0.143u4          | MAME     |
| ac1rundxa                 | 0.146u4          | MAME     |
| ac1scch                   | 0.162            | MESS     |
| ac1shid                   | 0.146u4          | MAME     |
| ac1shida                  | 0.143u4          | MAME     |
| ac1sstrk                  | 0.143u3          | MAME     |
| ac1sstrka                 | 0.146u4          | MAME     |
| ac1sstrkb                 | 0.146u4          | MAME     |
| ac1taklv                  | 0.143u3          | MAME     |
| ac1totb                   | 0.143u4          | MAME     |
| ac1xpres                  | 0.143u3          | MAME     |
| academy                   | 0.162            | MESS     |
| accomm                    | 0.186            | MESS     |
| acd                       | 0.192            | MESS     |
| ace                       | 0.062            | MAME     |
| ace100                    | 0.162            | MESS     |
| aceattac                  | 0.074u2          | MAME     |
| aceattaca                 | 0.107u3          | MAME     |
| acedrvrw                  | 0.078            | MAME     |
| aceex2814                 | 0.179            | MESS     |
| acefruit                  | 0.129u1          | MAME     |
| acheart                   | 0.144u7          | MAME     |
| acheartf                  | 0.144            | MAME     |
| acitya                    | 0.069            | MAME     |
| aclown                    | 0.143u7          | MAME     |
| acombat                   | 0.092u2000       | MAME     |
| acombat3                  | 0.153            | MAME     |
| acombat4                  | 0.175            | MAME     |
| acombato                  | 0.109            | MAME     |
| acommand                  | 0.087            | MAME     |
| acrnsys1                  | 0.162            | MESS     |
| acrobatm                  | 0.057            | MAME     |
| act2000                   | 0.129u4          | MAME     |
| act2000b1                 | 0.129u4          | MAME     |
| act2000bx                 | 0.129u4          | MAME     |
| act2000d1                 | 0.129u4          | MAME     |
| act2000dx                 | 0.129u4          | MAME     |
| act2000o                  | 0.129u4          | MAME     |
| act2000o2                 | 0.129u4          | MAME     |
| act2000o3                 | 0.129u4          | MAME     |
| act2000v1                 | 0.129u4          | MAME     |
| act2000vx                 | 0.129u4          | MAME     |
| actfancr                  | 0.188            | MAME     |
| actfancr1                 | 0.035b12         | MAME     |
| actfancr2                 | 0.036rc2         | MAME     |
| actfancrj                 | 0.035final       | MAME     |
| actionhw                  | 0.095u3          | MAME     |
| acw443                    | 0.166            | MESS     |
| ad2083                    | 0.096u3          | MAME     |
| ad4ctl                    | 0.143u7          | MAME     |
| ad4ctla                   | 0.143u7          | MAME     |
| ad4film                   | 0.143u7          | MAME     |
| ad4filma                  | 0.143u4          | MAME     |
| ad4skill                  | 0.143u4          | MAME     |
| ad5bpfpm                  | 0.147u4          | MAME     |
| ad5bpfpma                 | 0.143u4          | MAME     |
| ad5bpfpmb                 | 0.147u4          | MAME     |
| ad5bpfpmc                 | 0.147u4          | MAME     |
| ad5bpfpmd                 | 0.147u4          | MAME     |
| ad5btc                    | 0.143u4          | MAME     |
| ad5btca                   | 0.147u4          | MAME     |
| ad5btcb                   | 0.147u4          | MAME     |
| ad5cmons                  | 0.143u4          | MAME     |
| ad5cmonsa                 | 0.147u4          | MAME     |
| ad5copsr                  | 0.143u4          | MAME     |
| ad5copsr0                 | 0.147u4          | MAME     |
| ad5copsr1                 | 0.147u4          | MAME     |
| ad5copsr2                 | 0.147u4          | MAME     |
| ad5copsr3                 | 0.147u4          | MAME     |
| ad5copsr4                 | 0.147u4          | MAME     |
| ad5copsr5                 | 0.147u4          | MAME     |
| ad5copsr6                 | 0.147u4          | MAME     |
| ad5copsr7                 | 0.147u4          | MAME     |
| ad5copsra                 | 0.147u4          | MAME     |
| ad5copsrb                 | 0.147u4          | MAME     |
| ad5copsrc                 | 0.147u4          | MAME     |
| ad5copsrd                 | 0.147u4          | MAME     |
| ad5copsre                 | 0.147u4          | MAME     |
| ad5copsrf                 | 0.147u4          | MAME     |
| ad5copsrg                 | 0.147u4          | MAME     |
| ad5copsrh                 | 0.147u4          | MAME     |
| ad5copsri                 | 0.147u4          | MAME     |
| ad5copsrj                 | 0.147u4          | MAME     |
| ad5copsrk                 | 0.147u4          | MAME     |
| ad5copsrl                 | 0.147u4          | MAME     |
| ad5copsrm                 | 0.147u4          | MAME     |
| ad5copsrn                 | 0.147u4          | MAME     |
| ad5copsro                 | 0.147u4          | MAME     |
| ad5copsrp                 | 0.147u4          | MAME     |
| ad5copsrq                 | 0.147u4          | MAME     |
| ad5copsrr                 | 0.147u4          | MAME     |
| ad5copsrs                 | 0.147u4          | MAME     |
| ad5copsrt                 | 0.147u4          | MAME     |
| ad5copsru                 | 0.147u4          | MAME     |
| ad5copsrv                 | 0.147u4          | MAME     |
| ad5copsrw                 | 0.147u4          | MAME     |
| ad5copsrx                 | 0.147u4          | MAME     |
| ad5copsry                 | 0.147u4          | MAME     |
| ad5copsrz                 | 0.147u4          | MAME     |
| ad5crcpt                  | 0.143u4          | MAME     |
| ad5crcpta                 | 0.147u4          | MAME     |
| ad5crsc                   | 0.143u4          | MAME     |
| ad5crsca                  | 0.147u4          | MAME     |
| ad5crscb                  | 0.147u4          | MAME     |
| ad5crscc                  | 0.147u4          | MAME     |
| ad5crscd                  | 0.147u4          | MAME     |
| ad5crsce                  | 0.147u4          | MAME     |
| ad5crscf                  | 0.147u4          | MAME     |
| ad5crscg                  | 0.147u4          | MAME     |
| ad5crsch                  | 0.147u4          | MAME     |
| ad5dnd                    | 0.143u4          | MAME     |
| ad5dnda                   | 0.147u4          | MAME     |
| ad5dndb                   | 0.147u4          | MAME     |
| ad5dndc                   | 0.147u4          | MAME     |
| ad5dndcl                  | 0.143u4          | MAME     |
| ad5dndcla                 | 0.147u4          | MAME     |
