name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
ripoff;-;Rip Off;YES;NO;Cinematronics;-;-;1979;
rmhaihai;-;Real Mahjong Haihai (Japan);YES;NO;Alba;-;-;1985;
rmhaijin;-;Real Mahjong Haihai Jinji Idou Hen (Japan);YES;NO;Alba;-;-;1986;
rmhaisei;-;Real Mahjong Haihai Seichouhen (Japan);YES;NO;Visco;-;-;1986;
roadblst;-;Road Blasters (upright, rev 4);YES;NO;Atari Games;-;-;1987;
roadriot;-;Road Riot 4WD;YES;NO;Atari Games;-;-;1991;
roadrunn;-;Road Runner (rev 2);YES;NO;Atari Games;-;-;1985;
robby;-;Robby Roto;YES;NO;Bally Midway;-;-;1981;
robotbwl;-;Robot Bowl;YES;NO;Exidy;-;-;1977;
roldfrog;-;The Return of Lady Frog;YES;NO;Microhard;-;-;1993;
rollingc;-;Rolling Crash / Moon Base;YES;NO;Nichibutsu;-;invaders;1979;
rongrong;-;Rong Rong (Germany);YES;NO;Nakanihon;-;-;1994;
rotaryf;-;Rotary Fighter;YES;NO;<unknown>;-;invaders;19??;
rougien;-;Rougien;YES;NO;Sanritsu;-;-;1982;
royalmah;-;Royal Mahjong (Japan);YES;NO;Falcon;-;-;1982;
rranger;-;Rough Ranger (v2.0);YES;NO;SunA (Sharp Image license);-;-;1988;
rrreveng;-;Road Riot's Revenge (prototype);YES;NO;Atari Games;-;-;1994;
rsgun;-;Radiant Silvergun;YES;NO;Treasure;stvbios;-;1998;
runaway;-;Runaway (prototype);YES;NO;Atari;-;-;1982;
rungun;-;Run and Gun (World ver. EAA);YES;NO;Konami;-;-;1993;
rungun2;-;Run and Gun 2 (ver UAA);YES;NO;Konami;konamigx;-;1996;
rushhero;-;Rushing Heroes (ver UAB);YES;NO;Konami;konamigx;-;1996;
rvschool;-;Rival Schools (ASIA 971117);YES;NO;Capcom;cpzn1;-;1997;
safari;-;Safari;YES;NO;Gremlin;-;-;1977;
sailorws;-;Mahjong Sailor Wars (Japan);YES;NO;Nichibutsu;-;-;1993;
salmndr2;-;Salamander 2 (ver JAA);YES;NO;Konami;konamigx;-;1996;
sandor;-;Sando-R;YES;NO;Sega;stvbios;-;1995;
sassisu;-;Taisen Tanto-R Sashissu!!;YES;NO;Sega;stvbios;-;1996;
saturn;-;Saturn;YES;NO;[Zilec Electronics] Jaleco;-;-;1983;
sbomberb;-;Space Bomber (ver. B);YES;NO;Psikyo;-;-;1998;
sbowling;-;Strike Bowling;YES;NO;Taito Corporation;-;-;1982;
sbrkout;-;Super Breakout;YES;NO;Atari;-;-;1978;
sbugger;-;Space Bugger;YES;NO;Game-A-Tron;-;-;1981;
scandal;-;Scandal Mahjong (Japan 890213);YES;NO;Nichibutsu;-;-;1989;
schaser;-;Space Chaser;YES;NO;Taito;-;-;1979;
scorpnmc;-;Scorpion (Moon Cresta hardware);YES;NO;Dorneer;-;-;19??;
sdgndmrb;-;SD Gundam Sangokushi Rainbow Tairiku Senki;YES;NO;Banpresto;-;-;1993;
sdtennis;-;Super Doubles Tennis;YES;NO;Data East Corporation;-;-;1983;
seabass;-;Sea Bass Fishing;YES;NO;A Wave inc. (Able license);stvbios;-;1998;
seawolf;-;Sea Wolf;YES;NO;Midway;-;-;1976;
seawolf2;-;Sea Wolf II;YES;NO;Midway;-;seawolf;1978;
secolove;-;Second Love (Japan 861201);YES;NO;Nichibutsu;-;-;1986;
seiha;-;Seiha (Japan 870725);YES;NO;Nichibutsu;-;-;1987;
sengokmj;-;Sengoku Mahjong (Japan);YES;NO;Sigma;-;-;1991;
sentetst;-;Sente Diagnostic Cartridge;YES;NO;Bally/Sente;-;-;1984;
sexyparo;-;Sexy Parodius (ver JAA);YES;NO;Konami;konamigx;-;1996;
sf1;-;Street Fighter (World);YES;NO;Capcom;-;-;1987;
sfchamp;-;Super Football Champ (JAPAN);YES;NO;Taito;taitofx1;-;1995;
sfex;-;Street Fighter EX (ASIA 961219);YES;NO;Capcom/Arika;cpzn1;-;1996;
sfex2;-;Street Fighter EX 2 (JAPAN 980312);YES;NO;Capcom/Arika;cpzn2;-;1998;
sfexp;-;Street Fighter EX Plus (USA 970311);YES;NO;Capcom/Arika;cpzn1;-;1997;
sfish2;-;Sport Fishing 2;YES;NO;Sega;-;-;1995;
sflush;-;Straight Flush;YES;NO;Taito;-;-;1979;
sfootbal;-;Street Football;YES;NO;Bally/Sente;-;-;1986;
sfrush;-;San Francisco Rush;YES;NO;Atari Games;-;-;1996;
sg2j;-;Star Gladiator 2 (JAPAN 980316);YES;NO;Capcom;cpzn2;-;1998;
shangha2;-;Shanghai II (Japan);YES;NO;Sunsoft;-;-;1989;
shanghai;-;Shanghai (Japan);YES;NO;Sunsoft;-;-;1988;
shanhigw;-;Shanghai - The Great Wall - Shanghai Triple Threat;YES;NO;Sunsoft / Activision;stvbios;-;1995;
sheriff;-;Sheriff;YES;NO;Nintendo;-;-;1979;
shienryu;-;Shienryu;YES;NO;Warashi;stvbios;-;1997;
shootbul;-;Shoot the Bull;YES;NO;Bally Midway;-;-;1985;
shootgal;-;Shooting Gallery;YES;NO;Seatongrove Ltd (Zaccaria licence);-;-;1984;
shougi;-;Shougi;YES;NO;Alpha Denshi;-;-;198?;
shrike;-;Shrike Avenger (prototype);YES;NO;Bally/Sente;-;-;1986;
shtngmst;-;Shooting Master;YES;NO;Sega;-;-;1985;
shuffle;-;Shuffleboard;YES;NO;Midway;-;-;1978;
sia2650;-;Super Invader Attack;YES;NO;Zaccaria/Zelco;-;-;1978;
sidetrac;-;Side Track;YES;NO;Exidy;-;targ;1979;
sindbadm;-;Sindbad Mystery;YES;NO;Sega;-;-;1983;
skybump;-;Sky Bumper;YES;NO;Venture Line;-;-;1982;
skychut;-;Sky Chuter;YES;NO;Irem;-;-;1980;
skydiver;-;Sky Diver;YES;NO;Atari;-;-;1978;
skyraid;-;Sky Raider;YES;NO;Atari;-;-;1978;
sleague;-;Super Major League (US);YES;NO;Sega;stvbios;-;1995;
slikshot;-;Slick Shot (V2.2);YES;NO;Grand Products/Incredible Technologies;-;-;1990;
smgolf;-;Vs. Stroke and Match Golf (Men Version);YES;NO;Nintendo;-;-;1984;
snakepit;-;Snake Pit;YES;NO;Bally/Sente;-;-;1984;
snakjack;-;Snacks'n Jaxson;YES;NO;Bally/Sente;-;-;1984;
sncwgltd;-;Sonic Wings Limited (JAPAN);YES;NO;Video System;-;-;1996;
soccer;-;Atari Soccer;YES;NO;Atari;-;-;1980;
soccerss;-;Soccer Superstars (ver JAA);YES;NO;Konami;konamigx;-;1994;
sokyugrt;-;Soukyugurentai - Terra Diver;YES;NO;Raizing;stvbios;-;1996;
solarq;-;Solar Quest;YES;NO;Cinematronics;-;-;1981;
solvalou;-;Solvalou (Japan);YES;NO;Namco;-;-;1991;
soulclbr;-;Soul Calibur (SOC1-VER.A);YES;NO;Namco;-;-;1998;
souledge;-;Soul Edge Ver. II (SO4-VER.C);YES;NO;Namco;-;-;1996;
spacbeam;-;Space Beam;YES;NO;Irem;-;-;1979;
spacefev;-;Space Fever (New Ver);YES;NO;Nintendo;-;-;1979;
spacefrt;-;Space Fortress;YES;NO;Century Electronics;cvs;-;1981;
spaceint;-;Space Intruder;YES;NO;Shoei;-;invaders;1980;
spacelnc;-;Space Launcher;YES;NO;Nintendo;-;-;1979;
spaceod;-;Space Odyssey;YES;NO;Sega;-;-;1981;
spacetrk;-;Space Trek (upright);YES;NO;Sega;-;-;1980;
spacewar;-;Space Wars;YES;NO;Cinematronics;-;-;1978;
spacezap;-;Space Zap;YES;NO;Midway;-;-;1980;
spbactn;-;Super Pinball Action (US);YES;NO;Tecmo;-;-;1991;
spcenctr;-;Space Encounters;YES;NO;Midway;-;-;1980;
spcforce;-;Space Force;YES;NO;Venture Line;-;-;1980;
spcfrcii;-;Special Forces II;YES;NO;Senko Industries (Magic Eletronics Inc. licence);-;-;1985;
spcking2;-;Space King 2;YES;NO;Konami;-;invaders;1979;
spclaser;-;Space Laser;YES;NO;GamePlan (Taito);-;invaders;1980;
spclforc;-;Special Forces;YES;NO;Senko Industries (Magic Eletronics Inc. licence);-;-;1985;
spclords;-;Space Lords;YES;NO;Atari Games;-;-;1992;
spdbuggy;-;Speed Buggy;YES;NO;Tatsumi;-;-;1986;
spectar;-;Spectar (revision 3);YES;NO;Exidy;-;targ;1980;
speedatk;-;Speed Attack!;YES;NO;Seta Kikaku Corp.;-;-;1984;
speedfrk;-;Speed Freak;YES;NO;Vectorbeam;-;-;1979;
spiders;-;Spiders (set 1);YES;NO;Sigma Enterprises Inc.;-;-;1981;
spidey;-;Spider-Man: The Videogame (US);YES;NO;Sega;-;-;1991;
spiker;-;Spiker;YES;NO;Bally/Sente;-;-;1986;
splash;-;Splash! (Ver. 1.2 World);YES;NO;Gaelco;-;-;1992;
splndrbt;-;Splendor Blast;YES;NO;Alpha Denshi Co.;-;-;1985;
sprint1;-;Sprint 1;YES;NO;Atari;-;-;1978;
sprint4;-;Sprint 4 (set 1);YES;NO;Atari;-;-;1977;
sprint8;-;Sprint 8;YES;NO;Atari;-;-;1977;
srmp2;-;Super Real Mahjong Part 2 (Japan);YES;NO;Seta;-;-;1987;
srmp3;-;Super Real Mahjong Part 3 (Japan);YES;NO;Seta;-;-;1988;
sshooter;-;Sharpshooter (Rev 1.7);YES;NO;PandP Marketing;-;-;1998;
sslam;-;Super Slam (set 1);YES;NO;Playmark;-;-;1993;
sspacaho;-;Space Attack - Head On;YES;NO;Sega;-;-;1979;
sspaceat;-;Space Attack (upright);YES;NO;Sega;-;-;1979;
sspeedr;-;Super Speed Race;YES;NO;Midway;-;-;1979;
ssprint;-;Super Sprint (rev 4);YES;NO;Atari Games;-;-;1986;
sss;-;Steep Slope Sliders;YES;NO;Victor / Cave / Capcom;stvbios;-;1998;
sstrike;-;Super Strike Bowling;YES;NO;Strata/Incredible Technologies;-;-;1990;
sstrngr2;-;Space Stranger 2;YES;NO;Yachiyo Electronics, Ltd.;-;invaders;1979;
stactics;-;Space Tactics;YES;NO;Sega;-;-;1981;
starblad;-;Starblade;YES;NO;Namco;-;-;1991;
starcas;-;Star Castle (version 3);YES;NO;Cinematronics;-;-;1980;
starcrus;-;Star Cruiser;YES;NO;RamTek;-;-;1977;
starfir2;-;Star Fire 2;YES;NO;Exidy;-;-;1979;
starfire;-;Star Fire (set 1);YES;NO;Exidy;-;-;1979;
starglad;-;Star Gladiator (USA 960627);YES;NO;Capcom/;cpzn1;-;1996;
starhawk;-;Star Hawk;YES;NO;Cinematronics;-;-;1981;
starlstr;-;Vs. Star Luster;YES;NO;Namco;-;-;1985;
starshp1;-;Starship 1;YES;NO;Atari;-;-;1977;
starswep;-;Star Sweep (STP1-VER.A);YES;NO;Axela/Namco;-;-;1997;
statriv2;-;Triv Two;YES;NO;Status Games;-;-;1984;
steeltal;-;Steel Talons (rev 2);YES;NO;Atari Games;-;-;1991;
steelwkr;-;Steel Worker;YES;NO;Taito;-;invaders;1980;
stocker;-;Stocker;YES;NO;Bally/Sente;-;-;1984;
stoffy;-;Super Toffy;YES;NO;Midas (Unico license);-;-;1994;
stompin;-;Stompin';YES;NO;Bally/Sente;-;-;1986;
stratab;-;Strata Bowling (V3);YES;NO;Strata/Incredible Technologies;-;-;1990;
strider2;-;Strider 2 (USA 991213);YES;NO;Capcom;cpzn2;-;1999;
strkzone;-;Strike Zone Baseball;YES;NO;Leland Corp.;-;-;1988;
strtheat;-;Street Heat - Cardinal Amusements;YES;NO;Epos Corporation;-;dkongjr;1985;
stunrun;-;S.T.U.N. Runner (rev 6);YES;NO;Atari Games;-;-;1989;
stvbios;-;ST-V Bios;YES;NO;Sega;-;-;1996;
subs;-;Subs;YES;NO;Atari;-;-;1977;
suikoenb;-;Suikoenbu;YES;NO;Data East;stvbios;-;1995;
sundance;-;Sundance;YES;NO;Cinematronics;-;-;1979;
supdrapo;-;Super Draw Poker;YES;NO;Stern;-;-;1983;
superbik;-;Superbike;YES;NO;Century Electronics;cvs;-;1983;
superbug;-;Super Bug;YES;NO;Atari;-;-;1977;
superqix;-;Super Qix;YES;NO;Taito;-;-;1987;
supertnk;-;Super Tank;YES;NO;Video Games GmbH;-;-;1981;
supertr2;-;Super Triv II;YES;NO;Status Games;-;-;1986;
suprmrio;-;Vs. Super Mario Bros.;YES;NO;Nintendo;-;-;1986;
suprslam;-;Super Slams;YES;NO;Banpresto / Toei Animation;-;-;1995;
supxevs;-;Vs. Super Xevious;YES;NO;Namco;-;-;1986;
surpratk;-;Surprise Attack (Japan ver. M);YES;NO;Konami;-;-;1990;
survival;-;Survival;YES;NO;Rock-ola;-;-;1982;
suzume;-;Watashiha Suzumechan (Japan);YES;NO;Dyna Electronics;-;-;1986;
sws99;-;Super World Stadium '99 (SS91-VER.A);YES;NO;Namco;-;-;1999;
tailg;-;Tailgunner;YES;NO;Cinematronics;-;-;1979;
taitofx1;-;Taito FX1;YES;NO;Sony/Taito;-;-;1995;
tankbatt;-;Tank Battalion;YES;NO;Namco;-;-;1980;
targ;-;Targ;YES;NO;Exidy;-;-;1980;
taxidrvr;-;Taxi Driver;YES;NO;Graphic Techno;-;-;1984;
tbyahhoo;-;Twin Bee Yahhoo! (ver JAA);YES;NO;Konami;konamigx;-;1995;
teamqb;-;John Elway's Team Quarterback;YES;NO;Leland Corp.;-;-;1988;
techromn;-;Tech Romancer (USA 980914);YES;NO;Capcom;cpzn2;-;1998;
teedoff;-;Tee'd Off (Japan);YES;NO;Tecmo;-;-;1986;
teetert;-;Teeter Torture (prototype);YES;NO;Exidy;-;-;1982;
tehkanwc;-;Tehkan World Cup;YES;NO;Tehkan;-;-;1985;
tekken;-;Tekken (TE4-VER.C);YES;NO;Namco;-;-;1994;
tekken2;-;Tekken 2 Ver.B (TES3-VER.B);YES;NO;Namco;-;-;1995;
tekken3;-;Tekken 3 (TET1-VER.E);YES;NO;Namco;-;-;1996;
tekkentt;-;Tekken Tag Tournament (TEG3-VER.B);YES;NO;Namco;-;-;1999;
telmahjn;-;Telephone Mahjong (Japan 890111);YES;NO;Nichibutsu;-;-;1988;
tgmj;-;Tetris The Grand Master (JAPAN 980710);YES;NO;Capcom/Akira;cpzn1;-;1998;
tgtball;-;Target Ball (Nude);YES;NO;Yun Sung;-;-;1995;
themj;-;The Mah-jong (Japan);YES;NO;Visco;-;-;1987;
tickee;-;Tickee Tickats;YES;NO;Raster Elite;-;-;1994;
timecrsa;-;Time Crisis (Rev. TS2 Ver.A);YES;NO;Namco;-;-;1995;
timscanr;-;Time Scanner;YES;NO;Sega;-;-;1987;
tkmmpzdm;-;Tokimeki Memorial Taisen Puzzle-dama (ver JAB);YES;NO;Konami;konamigx;-;1995;
tkoboxng;-;Vs. TKO Boxing;YES;NO;Namco LTD.;-;-;1987;
tmek;-;T-MEK;YES;NO;Atari Games;-;-;1994;
tmmjprd;-;Tokimeki Mahjong Paradise - Dear My Love;YES;NO;Media / Sonnet;-;-;1997;
tnexspce;-;The Next Space;YES;NO;SNK;-;-;1989;
toffy;-;Toffy;YES;NO;Midas;-;-;1993;
toggle;-;Toggle (prototype);YES;NO;Bally/Sente;-;-;1985;
tokkae;-;Taisen Tokkae-dama (ver JAA);YES;NO;Konami;konamigx;-;1996;
tokyogal;-;Tokyo Gal Zukan (Japan);YES;NO;Nichibutsu;-;-;1989;
tomahawk;-;Tomahawk 777 (Revision 1);YES;NO;Data East;-;-;1980;
tondemo;-;Tondemo Crisis (JAPAN);YES;NO;Tecmo;tps;-;1999;
tontonb;-;Tonton [BET] (Japan);YES;NO;Dynax;-;-;1987;
topgun;-;Vs. Top Gun;YES;NO;Konami;-;-;1987;
topland;-;Top Landing (World);YES;NO;Taito Corporation Japan;-;-;1988;
toratora;-;Tora Tora;YES;NO;GamePlan;-;-;1980;
tornbase;-;Tornado Baseball;YES;NO;Midway;-;-;1976;
torus;-;Torus;YES;NO;Yun Sung;-;-;1996;
tourtabl;-;Tournament Table (set 1);YES;NO;Atari;-;-;1978;
tps;-;TPS;YES;NO;Sony/Tecmo;-;-;1997;
tranqgun;-;Tranquilizer Gun;YES;NO;Sega;-;-;1980;
triplew1;-;Mahjong Triple Wars (Japan);YES;NO;Nichibutsu;-;-;1989;
triplew2;-;Mahjong Triple Wars 2 (Japan);YES;NO;Nichibutsu;-;-;1990;
triplhnt;-;Triple Hunt;YES;NO;Atari;-;-;1977;
triviabb;-;Trivial Pursuit (Baby Boomer Edition);YES;NO;Bally/Sente;-;-;1984;
triviag1;-;Trivial Pursuit (Genus I);YES;NO;Bally/Sente;-;-;1984;
triviag2;-;Trivial Pursuit (Genus II);YES;NO;Bally/Sente;-;-;1984;
triviasp;-;Trivial Pursuit (All Star Sports Edition);YES;NO;Bally/Sente;-;-;1984;
triviayp;-;Trivial Pursuit (Young Players Edition);YES;NO;Bally/Sente;-;-;1984;
trivquiz;-;Triv Quiz;YES;NO;Status Games;-;-;1984;
truco;-;Truco-Tron;YES;NO;Playtronic SRL;-;-;198?;
tryout;-;Pro Baseball Skill Tryout (Japan);YES;NO;Data East Corporation;-;-;1985;
ts2;-;Battle Arena Toshinden 2 (USA 951124);YES;NO;Capcom/Takara;cpzn1;-;1995;
tshoot;-;Turkey Shoot;YES;NO;Williams;-;-;1984;
tstrike;-;Thunder Strike;YES;NO;East Coast Coin Company (Melbourne);-;-;1991;
tugboat;-;Tugboat;YES;NO;ETM;-;-;1982;
tunhunt;-;Tunnel Hunt;YES;NO;Atari;-;-;1979;
turbotag;-;Turbo Tag (prototype);YES;NO;Bally Midway;-;-;1985;
twcup98;-;Tecmo World Cup '98;YES;NO;Tecmo;stvbios;-;1998;
tws96;-;Tecmo World Soccer '96;YES;NO;Tecmo;neogeo;-;1996;
uchuuai;-;Mahjong Uchuu yori Ai wo komete (Japan);YES;NO;Nichibutsu;-;-;1989;
ultramhm;-;Ultra Maru-hi Mahjong (Japan);YES;NO;Apple;-;-;1993;
ultratnk;-;Ultra Tank;YES;NO;Atari;-;-;1978;
untoucha;-;Untouchable (Japan);YES;NO;Dynax;-;-;1987;
usg252;-;Games V25.4X;YES;NO;U.S. Games;-;-;1992;
usg83;-;Super Ten V8.3;YES;NO;U.S. Games;-;-;1988;
usvsthem;-;Us vs. Them;YES;NO;Mylstar;-;-;1984;
vanilla;-;Mahjong Vanilla Syndrome (Japan);YES;NO;Nichibutsu;-;-;1991;
vbowl;-;Virtua Bowling (World, V101XCM );YES;NO;Alta / IGS;-;-;1996;
vcircle;-;Vicious Circle (prototype);YES;NO;Atari Games;-;-;1996;
venture;-;Venture (version 5 set 1);YES;NO;Exidy;-;-;1981;
vf;-;Virtua Fighter;YES;NO;Sega;-;-;1993;
vfkids;-;Virtua Fighter Kids;YES;NO;Sega;stvbios;-;1996;
vfremix;-;Virtua Fighter Remix;YES;NO;Sega;stvbios;-;1995;
vgoalsoc;-;V Goal Soccer;YES;NO;Tecmo;-;-;199?;
victlapw;-;Ace Driver - Victory Lap (Rev. ADV2, World);YES;NO;Namco;-;-;1996;
victory;-;Victory;YES;NO;Exidy;-;-;1982;
videopin;-;Video Pinball;YES;NO;Atari;-;-;1979;
viper;-;Viper;YES;NO;Leland Corp.;-;-;1988;
vitaminc;-;Mahjong Vitamin C (Japan);YES;NO;Home Data;-;-;1989;
vmahjong;-;Virtual Mahjong;YES;NO;Micronet;stvbios;-;1997;
vsbball;-;Vs. BaseBall;YES;NO;Nintendo of America;-;-;1984;
vsfdf;-;Vs. Freedom Force;YES;NO;Konami;-;-;1988;
vsgradus;-;Vs. Gradius;YES;NO;Konami;-;-;1986;
vsgshoe;-;Vs. Gumshoe;YES;NO;Nintendo;-;-;1986;
vsmahjng;-;Vs. Mahjang (Japan);YES;NO;Nintendo;-;-;1984;
vsnetscr;-;Versus Net Soccer (ver UAB);YES;NO;Konami;konamigx;-;1996;
vspinbal;-;Vs. Pinball;YES;NO;Nintendo;-;-;1984;
vsskykid;-;Vs. Super SkyKid;YES;NO;Namco;-;-;1985;
vstennis;-;Vs. Tennis;YES;NO;Nintendo;-;-;1984;
wallst;-;Wall Street;YES;NO;Century Electronics;cvs;-;1982;
wargods;-;War Gods;YES;NO;Midway;-;-;1995;
warlords;-;Warlords;YES;NO;Atari;-;-;1980;
warrior;-;Warrior;YES;NO;Vectorbeam;-;-;1978;
wc90;-;Tecmo World Cup '90 (set 1);YES;NO;Tecmo;-;-;1989;
wfortune;-;Wheel Of Fortune;YES;NO;GameTek;-;-;1989;
wg3dh;-;Wayne Gretzky's 3D Hockey;YES;NO;Atari Games;-;-;1996;
wgp;-;World Grand Prix (US);YES;NO;Taito America Corporation;-;-;1989;
whizquiz;-;Whiz Quiz;YES;NO;Zilec-Zenitone;-;-;1985;
winrun91;-;Winning Run 91;YES;NO;Namco;-;-;1991;
winspike;-;Winning Spike (ver JAA);YES;NO;Konami;konamigx;-;1997;
winterht;-;Winter Heat;YES;NO;Sega;stvbios;-;1997;
wolfpack;-;Wolf Pack (prototype);YES;NO;Atari;-;-;1978;
worldc94;-;World Cup '94;YES;NO;Tecmo;-;-;199?;
wotw;-;War of the Worlds;YES;NO;Cinematronics;-;-;1981;
wow;-;Wizard of Wor;YES;NO;Midway;-;-;1980;
wpksoc;-;World PK Soccer;YES;NO;Jaleco;-;-;1995;
wrecking;-;Vs. Wrecking Crew;YES;NO;Nintendo;-;-;1984;
wseries;-;World Series - The Season;YES;NO;Cinematronics;-;-;1985;
wsf;-;World Soccer Finals;YES;NO;Leland Corp.;-;-;1990;
wtennis;-;World Tennis;YES;NO;bootleg;-;-;1982;
xeno;-;Xeno Crisis (Neo Geo MVS);YES;NO;Bitmap Bureau;neogeo;-;2019;
xevi3dg;-;Xevious 3D-G (XV31-VER.A);YES;NO;Namco;-;-;1995;
xfiles;-;X-Files;YES;NO;dfPIX Entertainment Inc.;-;-;19??;
yamyam;-;Yam! Yam![Q];YES;NO;Dooyong;-;-;1990;
yard;-;10 Yard Fight (Japan);YES;NO;Irem;-;-;1983;
yarunara;-;Mahjong Yarunara (Japan);YES;NO;Dynax;-;-;1991;
yosakdon;-;Yosaku To Donbei (set 1);YES;NO;Worldwing;-;invaders;1979;
yumefuda;-;Yumefuda [BET];YES;NO;Alba;-;-;199?;
zaryavos;-;Zarya Vostoka;YES;NO;Nova Games of Canada;-;-;1984;
zigzag;-;Zig Zag (Galaxian hardware, set 1);YES;NO;LAX;-;-;1982;
znpwfv;-;Zen Nippon Pro-Wrestling Featuring Virtua;YES;NO;Sega;stvbios;-;1997;
