name;cloneof;description;is_clone;is_parent;manufacturer;romof;sampleof;year
histryma;-;The History of Martial Arts;YES;NO;bootleg;-;-;199?;
hitme;-;Hit Me;YES;NO;RamTek;-;-;1976;
hmcompm2;-;hiphopmania complete MIX 2 (ver UA-A);YES;NO;Konami;-;-;2000;
hnayayoi;-;Hana Yayoi (Japan);YES;NO;Dyna Electronics;-;-;1987;
hnoridur;-;Hana Oriduru (Japan);YES;NO;Dynax;-;-;1989;
hogalley;-;Vs. Hogan's Alley;YES;NO;Nintendo;-;-;1985;
homerun;-;Moero Pro Yakyuu Homerun;YES;NO;Jaleco;-;-;1988;
hotsmash;-;Hot Smash;YES;NO;Taito;-;-;1987;
hourouki;-;Mahjong Hourouki Part 1 - Seisyun Hen (Japan);YES;NO;Home Data;-;-;1987;
housemn2;-;House Mannequin Roppongi Live hen (Japan 870418);YES;NO;Nichibutsu;-;-;1987;
housemnq;-;House Mannequin (Japan 870217);YES;NO;Nichibutsu;-;-;1987;
hstennis;-;Hot Shots Tennis (V1.1);YES;NO;Strata/Incredible Technologies;-;-;1990;
hvoltage;-;High Voltage;YES;NO;Alpha Denshi Co.;-;-;1985;
hyhoo;-;Taisen Quiz HYHOO (Japan);YES;NO;Nichibutsu;-;-;1987;
hyhoo2;-;Taisen Quiz HYHOO 2 (Japan);YES;NO;Nichibutsu;-;-;1987;
iceclimb;-;Vs. Ice Climber;YES;NO;Nintendo;-;-;1984;
iceclmrj;-;Vs. Ice Climber Dual (Japan);YES;NO;Nintendo;-;-;1984;
idhimitu;-;Idol no Himitsu [BET] (Japan 890304);YES;NO;Digital Soft;-;-;1989;
idolmj;-;Idol-Mahjong Housoukyoku (Japan);YES;NO;System Service;-;-;1988;
idsoccer;-;Indoor Soccer;YES;NO;Universal;-;-;1985;
iemoto;-;Iemoto (Japan 871020);YES;NO;Nichibutsu;-;-;1987;
imekura;-;Imekura Mahjong (Japan);YES;NO;SPHINX/AV JAPAN;-;-;1994;
indianbt;-;Indian Battle;YES;NO;Taito;-;invaders;1980;
indyheat;-;Danny Sullivan's Indy Heat;YES;NO;Leland Corp.;-;-;1991;
indytemp;-;Indiana Jones and the Temple of Doom (set 1);YES;NO;Atari Games;-;-;1985;
inferno;-;Inferno (Williams);YES;NO;Williams;-;-;1984;
introdon;-;Karaoke Quiz Intro Don Don!;YES;NO;Sunsoft / Success;stvbios;-;1996;
invad2ct;-;Space Invaders II (Midway, cocktail);YES;NO;Midway;-;invaders;1980;
invadpt2;-;Space Invaders Part II (Taito);YES;NO;Taito;-;invaders;1979;
invasion;-;Invasion (Sidam);YES;NO;Sidam;-;invaders;1980;
invds;-;Invinco - Deep Scan;YES;NO;Sega;-;invinco;1979;
invho2;-;Invinco - Head On 2;YES;NO;Sega;-;invinco;1979;
invinco;-;Invinco;YES;NO;Sega;-;-;1979;
invrvnge;-;Invader's Revenge;YES;NO;Zenitone Microsec Ltd.;-;invaders;19??;
ipminvad;-;IPM Invader;YES;NO;Irem;-;-;1979?;
irobot;-;I, Robot;YES;NO;Atari;-;-;1983;
jackrabt;-;Jack Rabbit (set 1);YES;NO;Zaccaria;-;-;1984;
jajamaru;-;Vs. Ninja Jajamaru Kun (Japan);YES;NO;Jaleco;-;-;1985;
jdredd;-;Judge Dredd (Rev C);YES;NO;Acclaim;acpsx;-;1996;
jogakuen;-;Mahjong Jogakuen (Japan);YES;NO;Windom;-;-;1992?;
josvolly;-;Joshi Volleyball;YES;NO;Taito Corporation;-;-;1983;
joust2;-;Joust 2 - Survival of the Fittest (set 1);YES;NO;Williams;-;-;1986;
jsk;-;Joryuu Syougi Kyoushitsu (Japan);YES;NO;Visco;-;-;1997;
jzth;-;Juezhan Tianhuang;YES;NO;<unknown>;-;-;2000;
kaguya;-;Mahjong Kaguyahime [BET] (Japan 880521);YES;NO;MIKI SYOUJI;-;-;1988;
kakumei;-;Mahjong Kakumei;YES;NO;Jaleco;-;-;1990;
kakumei2;-;Mahjong Kakumei 2 - Princess League;YES;NO;Jaleco;-;-;1992;
kanatuen;-;Kanatsuen no Onna [BET] (Japan 880905);YES;NO;Panac;-;-;1988;
kaos;-;Kaos;YES;NO;GamePlan;-;-;1981;
killcom;-;Killer Comet;YES;NO;GamePlan (Centuri license);-;-;1980;
kinst;-;Killer Instinct (v1.0);YES;NO;Rare;-;-;1994;
kinst2;-;Killer Instinct 2 (v2.1);YES;NO;Rare;-;-;1994;
kiwame;-;Pro Mahjong Kiwame;YES;NO;Athena;-;-;1994;
kiwames;-;Pro Mahjong Kiwame S;YES;NO;Athena;stvbios;-;1995;
kodure;-;Kodure Ookami (Japan);YES;NO;Nichibutsu;-;-;1987;
koinomp;-;Mahjong Koi no Magic Potion (Japan);YES;NO;Nichibutsu;-;-;1992;
konamigx;-;System GX;YES;NO;Konami;-;-;1994;
kopunch;-;KO Punch;YES;NO;Sega;-;-;1981;
korinai;-;Mahjong-zukino Korinai Menmen (Japan 880425);YES;NO;Nichibutsu;-;-;1988;
kouyakyu;-;The Koukouyakyuh;YES;NO;Alpha Denshi Co.;-;-;1985;
ladygolf;-;Vs. Stroke and Match Golf (Ladies Version);YES;NO;Nintendo;-;-;1984;
lagunar;-;Laguna Racer;YES;NO;Midway;-;-;1977;
lazercmd;-;Lazer Command;YES;NO;Meadows Games, Inc.;-;-;1976;
