name;bios;description;is_parent;manufacturer;sample;year
martmast;pgm;Martial Masters (V104, 102, 102, USA);NO;IGS;-;2001;
mastboyo;-;Master Boy (1987, Z80 hardware, Covielsa, set 1);NO;Gaelco (Covielsa license);-;1987;
megablst;cchip;Mega Blast (World);NO;Taito Corporation Japan;-;1989;
meijinsn;-;Meijinsen (set 1);NO;SNK Electronics corp.;-;1986;
merlinmm;-;Merlins Money Maze;NO;Zilec-Zenitone;-;1986;
metlfrzr;-;Metal Freezer;NO;Seibu;-;1989;
metlsavr;-;Metal Saver;NO;First Amusement;-;1994;
midssio;-;Midway SSIO Sound Board Internal pROM;NO;Midway;-;1981;
mirage;-;Mirage Youjuu Mahjongden (Japan);NO;Mitchell;-;1994;
misncrft;-;Mission Craft (version 2.7);NO;Sun;-;2000;
missw02;-;Miss World 2002;NO;Daigom;-;2002;
mjgtaste;-;Mahjong G-Taste;NO;Psikyo;-;2002;
mmagic;-;Monkey Magic;NO;Nintendo;-;1979;
mmpork;-;Muchi Muchi Pork! (2007/ 4/17 MASTER VER.);NO;Cave (AMI license);-;2007;
moomesa;-;Wild West C.O.W.-Boys of Moo Mesa (ver EAB);NO;Konami;-;1992;
moonwarp;-;Moon War (prototype on Frenzy hardware);NO;Stern Electronics;-;1981;
mosaicf2;-;Mosaic (F2 System);NO;F2 System;-;1999;
moshougi;neogeo;Syougi No Tatsujin - Master of Shougi;NO;ADK / SNK;-;1995;
mrdig;-;Mr. Dig;NO;Sun;-;2000;
mrkicker;-;Mr. Kicker (F-E1-16-010 PCB);NO;SemiCom;-;2001;
ms5pcb;-;Metal Slug 5 (JAMMA PCB);NO;SNK Playmore;-;2003;
msbingo;-;Miss Bingo;NO;Min Corp.;-;1994;
mspuzzle;-;Miss Puzzle;NO;Min Corp.;-;1994;
mushisam;-;Mushihime-Sama (2004/10/12.MASTER VER.);NO;Cave (AMI license);-;2004;
mushitam;-;Puzzle! Mushihime-Tama (2005/09/09.MASTER VER);NO;Cave (AMI license);-;2005;
musicbal;-;Music Ball;NO;Tecfri / Desystem S.A.;-;1988;
mwalk;-;Michael Jackson's Moonwalker (set 3, World, FD1094/8751 317-0159);NO;Sega;-;1990;
namcoc69;-;Namco C69 (M37702) (Bios);NO;Namco;-;1994;
namcoc70;-;Namco C70 (M37702) (Bios);NO;Namco;-;1994;
namcoc75;-;Namco C75 (M37702) (Bios);NO;Namco;-;1994;
namenayo;-;Namennayo (Japan);NO;Cat's;-;1982;
navarone;-;Navarone;NO;Namco;-;1980;
neocdz;neogeo;Neo Geo CDZ system;NO;SNK;-;1996;
neopang;neogeo;Neo Pang;NO;CeL;-;2010;
