name;description;year;manufacturer;is_parent;romof;is_clone;cloneof;sasampleof
aof3k;Art of Fighting 3 - The Path of the Warrior (Korean release);1996;SNK;NO;aof3;YES;aof3;-
aquajackj;Aquajack (Japan);1990;Taito Corporation;NO;aquajack;YES;aquajack;-
aquajacku;Aquajack (US);1990;Taito Corporation;NO;aquajack;YES;aquajack;-
aquariumj;Aquarium (Japan);1996;Excellent System;NO;aquarium;YES;aquarium;-
arabianmj;Arabian Magic (Ver 1.0J 1992/07/06);1992;Taito Corporation;NO;arabianm;YES;arabianm;-
arabianmu;Arabian Magic (Ver 1.0A 1992/07/06);1992;Taito America Corporation;NO;arabianm;YES;arabianm;-
aracnis;Aracnis (bootleg of Scorpion on Moon Cresta hardware) [Bootleg];19??;bootleg;NO;scorpion;YES;scorpion;-
arcadian;Arcadia (NMK);1994;NMK;YES;-;NO;-;-
area88r;Area 88 (Japan Resale ver.);1989;Daipro / Capcom;NO;unsquad;YES;unsquad;-
arian;Arian Mission;1985;SNK;NO;aso;YES;aso;-
ark1ball;Arkanoid (bootleg with MCU, harder) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
ark1balla;Arkanoid (bootleg with MCU, harder, alt) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
arkangc2;Arkanoid (Game Corporation bootleg, set 2) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
arkanoidj;Arkanoid (Japan);1986;Taito Corporation;NO;arkanoid;YES;arkanoid;-
arkanoidja;Arkanoid (Japan, older rev);1986;Taito Corporation;NO;arkanoid;YES;arkanoid;-
arkanoidjb;Arkanoid (Japan, oldest rev);1986;Taito Corporation;NO;arkanoid;YES;arkanoid;-
arkanoidjbl;Arkanoid (bootleg with MCU set 1) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
arkanoidjbl2;Arkanoid (bootleg with MCU set 2) [Bootleg];1986;bootleg (Beta);NO;arkanoid;YES;arkanoid;-
arkanoidjbla;Arkanoid (bootleg with MCU, alt) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
arkanoidu;Arkanoid (US);1986;Taito America Corporation (Romstar license);NO;arkanoid;YES;arkanoid;-
arkanoiduo;Arkanoid (US, oldest rev);1986;Taito America Corporation (Romstar license);NO;arkanoid;YES;arkanoid;-
arkgcbl;Arkanoid (bootleg on Block hardware) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
arknoid2b;Arkanoid - Revenge of DOH (Japan bootleg);1987;bootleg;NO;arknoid2;YES;arknoid2;-
arknoid2j;Arkanoid - Revenge of DOH (Japan);1987;Taito Corporation;NO;arknoid2;YES;arknoid2;-
arknoid2u;Arkanoid - Revenge of DOH (US);1987;Taito America Corporation (Romstar license);NO;arknoid2;YES;arknoid2;-
arkretrnj;Arkanoid Returns (Ver 2.02J 1997/02/10);1997;Taito Corporation;NO;arkretrn;YES;arkretrn;-
arkretrnu;Arkanoid Returns (Ver 2.02A 1997/02/10);1997;Taito Corporation;NO;arkretrn;YES;arkretrn;-
arktayt2;Arkanoid (Tayto bootleg, harder) [Bootleg];1986;bootleg;NO;arkanoid;YES;arkanoid;-
armedff;Armed Formation (Fillmore license);1988;Nichibutsu (Fillmore license);NO;armedf;YES;armedf;-
armorcar2;Armored Car (set 2);1981;Stern;NO;armorcar;YES;armorcar;-
armwar1d;Armored Warriors (941011 Europe Phoenix Edition) [Bootleg];1994;bootleg;NO;armwar;YES;armwar;-
armwarar1;Armored Warriors (940920 Asia);1994;Capcom;NO;armwar;YES;armwar;-
armwaru1;Armored Warriors (940920 USA);1994;Capcom;NO;armwar;YES;armwar;-
ashuraj;Ashura Blaster (Japan);1990;Taito Corporation;NO;ashura;YES;ashura;-
asideral;Ataque Sideral (Spanish bootleg of UniWar S) [Bootleg];1980;bootleg (Electrogame S.A.);NO;uniwars;YES;uniwars;-
asterixaad;Asterix (ver AAD);1992;Konami;NO;asterix;YES;asterix;-
asterixeaa;Asterix (ver EAA);1992;Konami;NO;asterix;YES;asterix;-
asterixeac;Asterix (ver EAC);1992;Konami;NO;asterix;YES;asterix;-
asterixj;Asterix (ver JAD);1992;Konami;NO;asterix;YES;asterix;-
astorm3;Alien Storm (set 3, World, 3 Players, FD1094 317-0148);1990;Sega;NO;astorm;YES;astorm;-
astorm3d;Alien Storm (set 3, World, 3 Players, FD1094 317-0148 decrypted) [Bootleg];1990;Sega;NO;astorm;YES;astorm;-
astormj;Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146);1990;Sega;NO;astorm;YES;astorm;-
astormjd;Alien Storm (set 1, Japan Rev B, 2 Players, FD1094 317-0146 decrypted) [Bootleg];1990;Sega;NO;astorm;YES;astorm;-
astormu;Alien Storm (set 2, US, 3 Players, FD1094 317-0147);1990;Sega;NO;astorm;YES;astorm;-
astormud;Alien Storm (set 2, US, 3 Players, FD1094 317-0147 decrypted) [Bootleg];1990;Sega;NO;astorm;YES;astorm;-
astrians;Astrians (clone of Swarm) [Bootleg];1979;BGV Ltd;NO;galaxian;YES;galaxian;-
asukaj;Asuka & Asuka (Japan);1988;Taito Corporation;NO;asuka;YES;asuka;-
asurabus;Asura Buster - Eternal Warriors (Japan);2000;Fuuki;YES;-;NO;-;-
asurabusa;Asura Buster - Eternal Warriors (Japan) (ARCADIA review build);2000;Fuuki;NO;asurabus;YES;asurabus;-
atehate;Athena no Hatena ?;1993;Athena;YES;-;NO;-;-
atetrisb2;Tetris (bootleg set 2) [Bootleg];1988;bootleg;NO;atetris;YES;atetris;-
atetrisc;Tetris (cocktail set 1) [No sound];1989;Atari Games;NO;atetris;YES;atetris;-
atetrisc2;Tetris (cocktail set 2) [No sound];1989;Atari Games;NO;atetris;YES;atetris;-
atlantis2;Battle of Atlantis (set 2);1981;Comsoft;NO;atlantis;YES;atlantis;-
atlantisb;Battle of Atlantis (bootleg) [Bootleg];1981;bootleg;NO;atlantis;YES;atlantis;-
atlantol;Atlant Olimpic;1996;bootleg;NO;trackfld;YES;trackfld;-
atomboya;Atomic Boy (revision A);1985;Irem (Memetron license);NO;wilytowr;YES;wilytowr;-
